step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,tokens_per_sec_per_M_params,total_tokens,grad_norm,timestamp
0,12.430484,N/A,N/A,2.50e-07,0.00,0.00,73728,N/A,2025-08-04 11:10:09
1,12.364023,N/A,N/A,5.00e-07,5703.69,16.05,147456,N/A,2025-08-04 11:10:34
2,12.244626,N/A,N/A,7.50e-07,8025.82,22.59,221184,N/A,2025-08-04 11:10:36
3,12.051627,N/A,N/A,1.00e-06,10076.89,28.36,294912,N/A,2025-08-04 11:10:38
4,11.893510,N/A,N/A,1.25e-06,11901.92,33.50,368640,N/A,2025-08-04 11:10:40
5,11.645146,N/A,N/A,1.50e-06,13535.59,38.10,442368,N/A,2025-08-04 11:10:41
6,11.175658,N/A,N/A,1.75e-06,15006.27,42.24,516096,N/A,2025-08-04 11:10:43
7,10.803591,N/A,N/A,2.00e-06,16336.99,45.99,589824,N/A,2025-08-04 11:10:45
8,10.047737,N/A,N/A,2.25e-06,17547.05,49.39,663552,N/A,2025-08-04 11:10:46
9,9.558079,N/A,N/A,2.50e-06,18651.45,52.50,737280,N/A,2025-08-04 11:10:48
10,10.374255,N/A,N/A,2.75e-06,47832.23,134.64,811008,44.8044,2025-08-04 11:10:50
11,10.109400,N/A,N/A,3.00e-06,47800.33,134.55,884736,N/A,2025-08-04 11:10:52
12,9.536005,N/A,N/A,3.25e-06,47770.71,134.46,958464,N/A,2025-08-04 11:10:53
13,9.283568,N/A,N/A,3.50e-06,47732.23,134.36,1032192,N/A,2025-08-04 11:10:55
14,8.955735,N/A,N/A,3.75e-06,47695.52,134.25,1105920,N/A,2025-08-04 11:10:57
15,8.802842,N/A,N/A,4.00e-06,47657.60,134.15,1179648,N/A,2025-08-04 11:10:58
16,7.215832,N/A,N/A,4.25e-06,47623.85,134.05,1253376,N/A,2025-08-04 11:11:00
17,7.162289,N/A,N/A,4.50e-06,47591.71,133.96,1327104,N/A,2025-08-04 11:11:02
18,8.189900,N/A,N/A,4.75e-06,47560.11,133.87,1400832,N/A,2025-08-04 11:11:04
19,8.147846,N/A,N/A,5.00e-06,47595.48,133.97,1474560,N/A,2025-08-04 11:11:05
20,8.292215,N/A,N/A,5.25e-06,47545.93,133.83,1548288,10.2127,2025-08-04 11:11:07
21,8.226836,N/A,N/A,5.50e-06,47512.56,133.74,1622016,N/A,2025-08-04 11:11:09
22,7.653609,N/A,N/A,5.75e-06,47485.05,133.66,1695744,N/A,2025-08-04 11:11:11
23,7.606072,N/A,N/A,6.00e-06,47457.39,133.58,1769472,N/A,2025-08-04 11:11:12
24,7.614650,N/A,N/A,6.25e-06,47430.49,133.51,1843200,N/A,2025-08-04 11:11:14
25,7.585598,N/A,N/A,6.50e-06,47404.00,133.43,1916928,N/A,2025-08-04 11:11:16
26,7.197802,N/A,N/A,6.75e-06,47373.57,133.35,1990656,N/A,2025-08-04 11:11:17
27,7.150332,N/A,N/A,7.00e-06,47342.02,133.26,2064384,N/A,2025-08-04 11:11:19
28,7.858718,N/A,N/A,7.25e-06,47311.90,133.17,2138112,N/A,2025-08-04 11:11:21
29,7.808242,N/A,N/A,7.50e-06,47298.34,133.13,2211840,N/A,2025-08-04 11:11:23
30,7.217057,N/A,N/A,7.75e-06,47251.41,133.00,2285568,3.8147,2025-08-04 11:11:24
31,7.179219,N/A,N/A,8.00e-06,47226.63,132.93,2359296,N/A,2025-08-04 11:11:26
32,7.209766,N/A,N/A,8.25e-06,47199.16,132.86,2433024,N/A,2025-08-04 11:11:28
33,7.172730,N/A,N/A,8.50e-06,47169.49,132.77,2506752,N/A,2025-08-04 11:11:30
34,6.856179,N/A,N/A,8.75e-06,47139.14,132.69,2580480,N/A,2025-08-04 11:11:31
35,6.815172,N/A,N/A,9.00e-06,47112.37,132.61,2654208,N/A,2025-08-04 11:11:33
36,7.686588,N/A,N/A,9.25e-06,47089.71,132.55,2727936,N/A,2025-08-04 11:11:35
37,7.650348,N/A,N/A,9.50e-06,47061.93,132.47,2801664,N/A,2025-08-04 11:11:37
