step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,11.663182,N/A,N/A,2.50e-07,0.00,8192,N/A,2025-06-07 19:58:40
1,11.876746,N/A,N/A,5.00e-07,2865.05,16384,N/A,2025-06-07 20:01:04
2,11.757844,N/A,N/A,7.50e-07,4057.38,24576,N/A,2025-06-07 20:01:04
3,12.078060,N/A,N/A,1.00e-06,5124.99,32768,N/A,2025-06-07 20:01:05
4,11.680254,N/A,N/A,1.25e-06,6096.35,40960,N/A,2025-06-07 20:01:05
5,12.082619,N/A,N/A,1.50e-06,6895.53,49152,N/A,2025-06-07 20:01:06
6,12.147115,N/A,N/A,1.75e-06,7671.69,57344,N/A,2025-06-07 20:01:06
7,11.845081,N/A,N/A,2.00e-06,8394.15,65536,N/A,2025-06-07 20:01:06
8,11.819338,N/A,N/A,2.25e-06,9044.98,73728,N/A,2025-06-07 20:01:07
9,12.376909,N/A,N/A,2.50e-06,9649.35,81920,N/A,2025-06-07 20:01:07
10,11.925628,N/A,N/A,2.75e-06,25768.93,90112,1.0000,2025-06-07 20:01:07
11,11.970010,N/A,N/A,3.00e-06,25739.75,98304,N/A,2025-06-07 20:01:08
12,11.187607,N/A,N/A,3.25e-06,25683.60,106496,N/A,2025-06-07 20:01:08
13,12.171955,N/A,N/A,3.50e-06,25675.18,114688,N/A,2025-06-07 20:01:08
14,11.751575,N/A,N/A,3.75e-06,26210.61,122880,N/A,2025-06-07 20:01:09
15,11.787334,N/A,N/A,4.00e-06,26346.57,131072,N/A,2025-06-07 20:01:09
16,11.400152,N/A,N/A,4.25e-06,26122.20,139264,N/A,2025-06-07 20:01:09
17,12.661964,N/A,N/A,4.50e-06,26201.63,147456,N/A,2025-06-07 20:01:10
18,11.857595,N/A,N/A,4.75e-06,26123.40,155648,N/A,2025-06-07 20:01:10
19,11.885347,N/A,N/A,5.00e-06,26650.98,163840,N/A,2025-06-07 20:01:10
20,12.649551,N/A,N/A,5.25e-06,26196.95,172032,1.0000,2025-06-07 20:01:11
21,11.885403,N/A,N/A,5.50e-06,26204.01,180224,N/A,2025-06-07 20:01:11
22,11.755227,N/A,N/A,5.75e-06,25996.63,188416,N/A,2025-06-07 20:01:11
23,11.937883,N/A,N/A,6.00e-06,26266.81,196608,N/A,2025-06-07 20:01:12
24,12.284462,N/A,N/A,6.25e-06,26148.05,204800,N/A,2025-06-07 20:01:12
25,11.965242,N/A,N/A,6.50e-06,26301.35,212992,N/A,2025-06-07 20:01:12
26,11.635622,N/A,N/A,6.75e-06,26146.58,221184,N/A,2025-06-07 20:01:13
27,10.732903,N/A,N/A,7.00e-06,26202.91,229376,N/A,2025-06-07 20:01:13
