step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,11.998807,N/A,N/A,2.50e-07,0.00,4096,N/A,2025-07-14 11:57:51
1,11.998334,N/A,N/A,5.00e-07,440.76,8192,N/A,2025-07-14 11:58:10
2,11.854810,N/A,N/A,7.50e-07,655.56,12288,N/A,2025-07-14 11:58:10
3,12.002942,N/A,N/A,1.00e-06,866.72,16384,N/A,2025-07-14 11:58:10
4,12.051015,N/A,N/A,1.25e-06,1074.24,20480,N/A,2025-07-14 11:58:10
5,11.927760,N/A,N/A,1.50e-06,1278.31,24576,N/A,2025-07-14 11:58:10
6,11.825562,N/A,N/A,1.75e-06,1478.99,28672,N/A,2025-07-14 11:58:11
7,11.904724,N/A,N/A,2.00e-06,1676.25,32768,N/A,2025-07-14 11:58:11
8,11.769156,N/A,N/A,2.25e-06,1870.59,36864,N/A,2025-07-14 11:58:11
9,11.912011,N/A,N/A,2.50e-06,2061.47,40960,N/A,2025-07-14 11:58:11
10,11.848478,N/A,N/A,2.75e-06,27669.51,45056,1.0000,2025-07-14 11:58:11
11,11.933163,N/A,N/A,3.00e-06,27586.45,49152,N/A,2025-07-14 11:58:11
12,11.661439,N/A,N/A,3.25e-06,27548.25,53248,N/A,2025-07-14 11:58:12
13,11.764057,N/A,N/A,3.50e-06,27587.67,57344,N/A,2025-07-14 11:58:12
14,11.771378,N/A,N/A,3.75e-06,27615.50,61440,N/A,2025-07-14 11:58:12
15,11.962049,N/A,N/A,4.00e-06,27458.29,65536,N/A,2025-07-14 11:58:12
16,11.759356,N/A,N/A,4.25e-06,27430.39,69632,N/A,2025-07-14 11:58:12
17,11.573290,N/A,N/A,4.50e-06,27142.91,73728,N/A,2025-07-14 11:58:12
18,11.257096,N/A,N/A,4.75e-06,27151.28,77824,N/A,2025-07-14 11:58:13
19,11.383576,N/A,N/A,5.00e-06,27627.31,81920,N/A,2025-07-14 11:58:13
20,11.383148,N/A,N/A,5.25e-06,26746.92,86016,1.0000,2025-07-14 11:58:13
21,11.156726,N/A,N/A,5.50e-06,26702.37,90112,N/A,2025-07-14 11:58:13
22,11.325561,N/A,N/A,5.75e-06,26696.53,94208,N/A,2025-07-14 11:58:13
23,11.687500,N/A,N/A,6.00e-06,26261.42,98304,N/A,2025-07-14 11:58:13
24,11.423657,N/A,N/A,6.25e-06,26460.73,102400,N/A,2025-07-14 11:58:14
25,10.624186,N/A,N/A,6.50e-06,26518.34,106496,N/A,2025-07-14 11:58:14
26,11.073838,N/A,N/A,6.75e-06,26783.53,110592,N/A,2025-07-14 11:58:14
27,10.850036,N/A,N/A,7.00e-06,26796.68,114688,N/A,2025-07-14 11:58:14
28,11.930166,N/A,N/A,7.25e-06,26979.92,118784,N/A,2025-07-14 11:58:14
29,12.142603,N/A,N/A,7.50e-06,27877.90,122880,N/A,2025-07-14 11:58:14
30,11.503931,N/A,N/A,7.75e-06,27218.09,126976,1.0000,2025-07-14 11:58:15
31,11.684399,N/A,N/A,8.00e-06,27185.16,131072,N/A,2025-07-14 11:58:15
32,12.220704,N/A,N/A,8.25e-06,27652.74,135168,N/A,2025-07-14 11:58:15
33,12.713225,N/A,N/A,8.50e-06,27616.11,139264,N/A,2025-07-14 11:58:15
