step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,10.000000,N/A,N/A,1.00e-07,0.00,4096,N/A,2025-06-02 11:57:36
1,11.766015,N/A,N/A,2.00e-07,97.95,8192,N/A,2025-06-02 12:05:18
2,11.759098,N/A,N/A,3.00e-07,104.77,12288,N/A,2025-06-02 12:05:52
3,11.763548,N/A,N/A,4.00e-07,139.50,16384,N/A,2025-06-02 12:05:52
4,11.762831,N/A,N/A,5.00e-07,174.14,20480,N/A,2025-06-02 12:05:52
5,11.761910,N/A,N/A,6.00e-07,208.61,24576,N/A,2025-06-02 12:05:52
6,11.757921,N/A,N/A,7.00e-07,243.05,28672,N/A,2025-06-02 12:05:52
7,11.753907,N/A,N/A,8.00e-07,277.35,32768,N/A,2025-06-02 12:05:52
8,11.738830,N/A,N/A,9.00e-07,311.47,36864,N/A,2025-06-02 12:05:53
9,11.725870,N/A,N/A,1.00e-06,345.54,40960,N/A,2025-06-02 12:05:53
10,11.740634,N/A,N/A,1.10e-06,1167.13,45056,0.5000,2025-06-02 12:05:53
11,11.742078,N/A,N/A,1.20e-06,25579.77,49152,N/A,2025-06-02 12:05:53
12,11.730928,N/A,N/A,1.30e-06,25817.98,53248,N/A,2025-06-02 12:05:53
13,11.728073,N/A,N/A,1.40e-06,25661.25,57344,N/A,2025-06-02 12:05:53
14,11.709942,N/A,N/A,1.50e-06,26428.25,61440,N/A,2025-06-02 12:05:54
15,11.714409,N/A,N/A,1.60e-06,26070.38,65536,N/A,2025-06-02 12:05:54
16,11.722073,N/A,N/A,1.70e-06,25763.17,69632,N/A,2025-06-02 12:05:54
17,11.721904,N/A,N/A,1.80e-06,25790.26,73728,N/A,2025-06-02 12:05:54
18,11.714844,N/A,N/A,1.90e-06,26179.78,77824,N/A,2025-06-02 12:05:54
19,11.718028,N/A,N/A,2.00e-06,26879.43,81920,N/A,2025-06-02 12:05:55
20,11.703471,N/A,N/A,2.10e-06,26092.70,86016,0.5000,2025-06-02 12:05:55
21,11.703777,N/A,N/A,2.20e-06,26055.10,90112,N/A,2025-06-02 12:05:55
22,11.688346,N/A,N/A,2.30e-06,26112.79,94208,N/A,2025-06-02 12:05:55
23,11.691950,N/A,N/A,2.40e-06,26177.07,98304,N/A,2025-06-02 12:05:55
24,11.721483,N/A,N/A,2.50e-06,26616.97,102400,N/A,2025-06-02 12:05:55
25,11.720758,N/A,N/A,2.60e-06,27495.86,106496,N/A,2025-06-02 12:05:55
26,11.720929,N/A,N/A,2.70e-06,28512.68,110592,N/A,2025-06-02 12:05:56
27,11.701764,N/A,N/A,2.80e-06,28608.19,114688,N/A,2025-06-02 12:05:56
28,11.679775,N/A,N/A,2.90e-06,28528.01,118784,N/A,2025-06-02 12:05:56
29,11.665430,N/A,N/A,3.00e-06,29539.03,122880,N/A,2025-06-02 12:05:56
30,11.650461,N/A,N/A,3.10e-06,28953.67,126976,0.5000,2025-06-02 12:05:56
31,11.644200,N/A,N/A,3.20e-06,29253.39,131072,N/A,2025-06-02 12:05:56
32,11.642187,N/A,N/A,3.30e-06,29252.95,135168,N/A,2025-06-02 12:05:57
33,11.653482,N/A,N/A,3.40e-06,28762.62,139264,N/A,2025-06-02 12:05:57
34,11.630758,N/A,N/A,3.50e-06,28716.52,143360,N/A,2025-06-02 12:05:57
35,11.627728,N/A,N/A,3.60e-06,28654.66,147456,N/A,2025-06-02 12:05:57
36,11.534655,N/A,N/A,3.70e-06,28746.37,151552,N/A,2025-06-02 12:05:57
37,11.528680,N/A,N/A,3.80e-06,28257.64,155648,N/A,2025-06-02 12:05:57
38,11.490111,N/A,N/A,3.90e-06,28300.03,159744,N/A,2025-06-02 12:05:58
39,11.482010,N/A,N/A,4.00e-06,28177.83,163840,N/A,2025-06-02 12:05:58
40,11.559817,N/A,N/A,4.10e-06,27611.15,167936,0.5000,2025-06-02 12:05:58
41,11.560382,N/A,N/A,4.20e-06,27567.07,172032,N/A,2025-06-02 12:05:58
42,11.539100,N/A,N/A,4.30e-06,28074.94,176128,N/A,2025-06-02 12:05:58
43,11.523405,N/A,N/A,4.40e-06,27968.89,180224,N/A,2025-06-02 12:05:58
44,11.585135,N/A,N/A,4.50e-06,27900.88,184320,N/A,2025-06-02 12:05:59
45,11.577147,N/A,N/A,4.60e-06,27898.54,188416,N/A,2025-06-02 12:05:59
