step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,12.320833,N/A,N/A,2.50e-07,0.00,16384,N/A,2025-07-25 18:15:59
1,12.316383,N/A,N/A,5.00e-07,1342.04,32768,N/A,2025-07-25 18:16:23
2,12.259901,N/A,N/A,7.50e-07,1927.84,49152,N/A,2025-07-25 18:16:24
3,12.254560,N/A,N/A,1.00e-06,2484.33,65536,N/A,2025-07-25 18:16:25
4,12.330119,N/A,N/A,1.25e-06,3004.03,81920,N/A,2025-07-25 18:16:26
5,12.320958,N/A,N/A,1.50e-06,3488.65,98304,N/A,2025-07-25 18:16:27
6,12.246429,N/A,N/A,1.75e-06,3946.94,114688,N/A,2025-07-25 18:16:28
7,12.232940,N/A,N/A,2.00e-06,4373.73,131072,N/A,2025-07-25 18:16:29
8,12.182719,N/A,N/A,2.25e-06,4774.86,147456,N/A,2025-07-25 18:16:30
9,12.165572,N/A,N/A,2.50e-06,5160.58,163840,N/A,2025-07-25 18:16:31
10,12.257839,N/A,N/A,2.75e-06,19863.92,180224,1.0000,2025-07-25 18:16:31
11,12.237391,N/A,N/A,3.00e-06,20283.01,196608,N/A,2025-07-25 18:16:32
12,12.256909,N/A,N/A,3.25e-06,20201.87,212992,N/A,2025-07-25 18:16:33
13,12.235072,N/A,N/A,3.50e-06,20219.39,229376,N/A,2025-07-25 18:16:34
14,12.223282,N/A,N/A,3.75e-06,20126.00,245760,N/A,2025-07-25 18:16:35
15,12.197852,N/A,N/A,4.00e-06,20061.24,262144,N/A,2025-07-25 18:16:36
16,11.999084,N/A,N/A,4.25e-06,20099.81,278528,N/A,2025-07-25 18:16:37
17,11.966991,N/A,N/A,4.50e-06,20046.83,294912,N/A,2025-07-25 18:16:38
18,12.136381,N/A,N/A,4.75e-06,20036.44,311296,N/A,2025-07-25 18:16:39
19,12.110671,N/A,N/A,5.00e-06,20103.74,327680,N/A,2025-07-25 18:16:40
20,12.033576,N/A,N/A,5.25e-06,20067.66,344064,1.0000,2025-07-25 18:16:41
21,12.006594,N/A,N/A,5.50e-06,20168.91,360448,N/A,2025-07-25 18:16:41
22,12.005666,N/A,N/A,5.75e-06,20125.95,376832,N/A,2025-07-25 18:16:42
23,11.964977,N/A,N/A,6.00e-06,20318.97,393216,N/A,2025-07-25 18:16:43
24,12.150795,N/A,N/A,6.25e-06,20282.00,409600,N/A,2025-07-25 18:16:44
25,12.122748,N/A,N/A,6.50e-06,20332.44,425984,N/A,2025-07-25 18:16:45
26,12.096953,N/A,N/A,6.75e-06,20506.59,442368,N/A,2025-07-25 18:16:46
27,12.066095,N/A,N/A,7.00e-06,20514.83,458752,N/A,2025-07-25 18:16:47
28,11.745462,N/A,N/A,7.25e-06,20548.89,475136,N/A,2025-07-25 18:16:48
29,11.697626,N/A,N/A,7.50e-06,20690.89,491520,N/A,2025-07-25 18:16:48
30,11.741530,N/A,N/A,7.75e-06,20552.47,507904,1.0000,2025-07-25 18:16:49
31,11.690166,N/A,N/A,8.00e-06,20636.57,524288,N/A,2025-07-25 18:16:50
32,11.724598,N/A,N/A,8.25e-06,20542.09,540672,N/A,2025-07-25 18:16:51
33,11.680610,N/A,N/A,8.50e-06,20681.24,557056,N/A,2025-07-25 18:16:52
34,11.446808,N/A,N/A,8.75e-06,20704.75,573440,N/A,2025-07-25 18:16:53
35,11.375577,N/A,N/A,9.00e-06,20655.62,589824,N/A,2025-07-25 18:16:54
36,11.440337,N/A,N/A,9.25e-06,20612.49,606208,N/A,2025-07-25 18:16:55
37,11.363219,N/A,N/A,9.50e-06,20541.26,622592,N/A,2025-07-25 18:16:56
38,10.878755,N/A,N/A,9.75e-06,20437.19,638976,N/A,2025-07-25 18:16:56
39,10.771676,N/A,N/A,1.00e-05,20558.83,655360,N/A,2025-07-25 18:16:57
40,11.123427,N/A,N/A,1.03e-05,20442.55,671744,1.0000,2025-07-25 18:16:58
41,11.038765,N/A,N/A,1.05e-05,20520.29,688128,N/A,2025-07-25 18:16:59
42,11.374448,N/A,N/A,1.08e-05,20483.47,704512,N/A,2025-07-25 18:17:00
43,11.308332,N/A,N/A,1.10e-05,20415.21,720896,N/A,2025-07-25 18:17:01
44,11.283587,N/A,N/A,1.13e-05,20424.58,737280,N/A,2025-07-25 18:17:02
45,11.221066,N/A,N/A,1.15e-05,20402.32,753664,N/A,2025-07-25 18:17:03
46,10.954119,N/A,N/A,1.18e-05,20464.02,770048,N/A,2025-07-25 18:17:04
47,10.870996,N/A,N/A,1.20e-05,20518.89,786432,N/A,2025-07-25 18:17:04
48,10.955269,N/A,N/A,1.22e-05,20541.11,802816,N/A,2025-07-25 18:17:05
49,10.877507,N/A,N/A,1.25e-05,20616.57,819200,N/A,2025-07-25 18:17:06
50,11.328541,N/A,N/A,1.28e-05,20535.93,835584,1.0000,2025-07-25 18:17:07
51,11.263622,N/A,N/A,1.30e-05,20551.85,851968,N/A,2025-07-25 18:17:08
52,11.278954,N/A,N/A,1.33e-05,20607.71,868352,N/A,2025-07-25 18:17:09
53,11.222424,N/A,N/A,1.35e-05,20546.82,884736,N/A,2025-07-25 18:17:10
54,10.326302,N/A,N/A,1.38e-05,20610.91,901120,N/A,2025-07-25 18:17:11
55,10.217807,N/A,N/A,1.40e-05,20640.75,917504,N/A,2025-07-25 18:17:11
56,10.030471,N/A,N/A,1.42e-05,20646.45,933888,N/A,2025-07-25 18:17:12
57,9.924227,N/A,N/A,1.45e-05,20622.96,950272,N/A,2025-07-25 18:17:13
58,10.284624,N/A,N/A,1.47e-05,20644.34,966656,N/A,2025-07-25 18:17:14
59,10.193647,N/A,N/A,1.50e-05,20692.98,983040,N/A,2025-07-25 18:17:15
60,11.853949,N/A,N/A,1.52e-05,20551.99,999424,1.0000,2025-07-25 18:17:16
61,11.823535,N/A,N/A,1.55e-05,20523.22,1015808,N/A,2025-07-25 18:17:17
62,10.051934,N/A,N/A,1.57e-05,20599.18,1032192,N/A,2025-07-25 18:17:18
63,9.956965,N/A,N/A,1.60e-05,20570.49,1048576,N/A,2025-07-25 18:17:19
64,9.891726,N/A,N/A,1.63e-05,20528.72,1064960,N/A,2025-07-25 18:17:19
65,9.799857,N/A,N/A,1.65e-05,20521.40,1081344,N/A,2025-07-25 18:17:20
66,9.982616,N/A,N/A,1.68e-05,20555.34,1097728,N/A,2025-07-25 18:17:21
67,9.908054,N/A,N/A,1.70e-05,20569.70,1114112,N/A,2025-07-25 18:17:22
68,9.296241,N/A,N/A,1.73e-05,20489.75,1130496,N/A,2025-07-25 18:17:23
69,9.192563,N/A,N/A,1.75e-05,20600.06,1146880,N/A,2025-07-25 18:17:24
70,9.746443,N/A,N/A,1.78e-05,20538.78,1163264,1.0000,2025-07-25 18:17:25
71,9.671075,N/A,N/A,1.80e-05,20471.55,1179648,N/A,2025-07-25 18:17:26
72,8.687856,N/A,N/A,1.82e-05,20485.00,1196032,N/A,2025-07-25 18:17:27
73,8.604518,N/A,N/A,1.85e-05,20442.58,1212416,N/A,2025-07-25 18:17:27
