step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,12.007951,N/A,N/A,2.50e-07,0.00,20480,N/A,2025-07-26 16:21:32
1,12.251975,N/A,N/A,5.00e-07,2341.02,20485.09,40960,N/A,2025-07-26 21:09:46
2,12.157241,N/A,N/A,7.50e-07,3373.40,20487.34,61440,N/A,2025-07-26 21:09:46
3,12.154202,N/A,N/A,1.00e-06,4324.91,20489.41,81920,N/A,2025-07-26 21:09:47
4,12.246651,N/A,N/A,1.25e-06,5210.13,20491.34,102400,N/A,2025-07-26 21:09:48
5,12.241832,N/A,N/A,1.50e-06,6030.58,20493.12,122880,N/A,2025-07-26 21:09:48
6,12.149610,N/A,N/A,1.75e-06,6798.21,20494.79,143360,N/A,2025-07-26 21:09:49
7,12.142439,N/A,N/A,2.00e-06,7508.50,20496.34,163840,N/A,2025-07-26 21:09:50
8,12.140495,N/A,N/A,2.25e-06,8178.90,20497.8,184320,N/A,2025-07-26 21:09:51
9,12.130268,N/A,N/A,2.50e-06,8808.30,20499.17,204800,N/A,2025-07-26 21:09:51
10,12.133823,N/A,N/A,2.75e-06,31586.49,20548.73,225280,1.0000,2025-07-26 21:09:52
11,12.122028,N/A,N/A,3.00e-06,31467.73,41097.2,245760,N/A,2025-07-26 21:09:53
12,12.134707,N/A,N/A,3.25e-06,31555.96,41097.39,266240,N/A,2025-07-26 21:09:53
13,12.117861,N/A,N/A,3.50e-06,31549.76,82194.77,286720,N/A,2025-07-26 21:09:54
14,12.127795,N/A,N/A,3.75e-06,31616.86,82194.91,307200,N/A,2025-07-26 21:09:55
15,12.114964,N/A,N/A,4.00e-06,31468.90,164389.5,327680,N/A,2025-07-26 21:09:56
16,12.131711,N/A,N/A,4.25e-06,31544.19,164389.67,348160,N/A,2025-07-26 21:09:56
17,12.112675,N/A,N/A,4.50e-06,31558.23,164389.7,368640,N/A,2025-07-26 21:09:57
18,12.083015,N/A,N/A,4.75e-06,31356.23,328778.96,389120,N/A,2025-07-26 21:09:58
19,12.065885,N/A,N/A,5.00e-06,31454.76,328779.17,409600,N/A,2025-07-26 21:09:59
20,12.142797,N/A,N/A,5.25e-06,31473.09,328779.21,430080,1.0000,2025-07-26 21:09:59
21,12.129466,N/A,N/A,5.50e-06,31427.78,657558.32,450560,N/A,2025-07-26 21:10:00
22,11.876428,N/A,N/A,5.75e-06,31373.13,1315116.52,471040,N/A,2025-07-26 21:10:01
23,11.853461,N/A,N/A,6.00e-06,31121.15,2630232.5,491520,N/A,2025-07-26 21:10:01
24,11.924500,N/A,N/A,6.25e-06,31014.02,5260464.76,512000,N/A,2025-07-26 21:10:02
25,11.901752,N/A,N/A,6.50e-06,30680.68,10520928.8,532480,N/A,2025-07-26 21:10:03
26,11.724721,N/A,N/A,6.75e-06,30564.92,21041857.34,552960,N/A,2025-07-26 21:10:04
27,11.692021,N/A,N/A,7.00e-06,30771.98,21041857.8,573440,N/A,2025-07-26 21:10:04
28,11.708462,N/A,N/A,7.25e-06,30744.88,42083715.54,593920,N/A,2025-07-26 21:10:05
29,11.674461,N/A,N/A,7.50e-06,30738.62,84167431.06,614400,N/A,2025-07-26 21:10:06
30,11.665812,N/A,N/A,7.75e-06,30530.78,168334861.67,634880,1.0000,2025-07-26 21:10:07
31,11.622419,N/A,N/A,8.00e-06,30565.23,168334861.75,655360,N/A,2025-07-26 21:10:07
32,11.683427,N/A,N/A,8.25e-06,30739.65,168334862.13,675840,N/A,2025-07-26 21:10:08
33,11.645872,N/A,N/A,8.50e-06,30930.26,168334862.54,696320,N/A,2025-07-26 21:10:09
34,11.574839,N/A,N/A,8.75e-06,31281.11,168334863.3,716800,N/A,2025-07-26 21:10:10
35,11.536495,N/A,N/A,9.00e-06,31337.71,168334863.43,737280,N/A,2025-07-26 21:10:10
36,11.841670,N/A,N/A,9.25e-06,30963.88,336669726.04,757760,N/A,2025-07-26 21:10:11
37,11.814847,N/A,N/A,9.50e-06,30736.77,673339451.59,778240,N/A,2025-07-26 21:10:12
38,11.641007,N/A,N/A,9.75e-06,30865.46,673339451.87,798720,N/A,2025-07-26 21:10:13
39,11.605689,N/A,N/A,1.00e-05,31103.36,673339452.39,819200,N/A,2025-07-26 21:10:13
40,11.735529,N/A,N/A,1.03e-05,30827.10,1346678904.179999,839680,1.0000,2025-07-26 21:10:14
41,11.706594,N/A,N/A,1.05e-05,30874.27,1346678904.279999,860160,N/A,2025-07-26 21:10:15
42,11.397685,N/A,N/A,1.08e-05,30906.11,1346678904.349999,880640,N/A,2025-07-26 21:10:15
43,11.350617,N/A,N/A,1.10e-05,30928.91,1346678904.399999,901120,N/A,2025-07-26 21:10:16
44,11.683064,N/A,N/A,1.13e-05,30973.70,1346678904.49,921600,N/A,2025-07-26 21:10:17
45,11.647300,N/A,N/A,1.15e-05,31338.09,1346678905.289999,942080,N/A,2025-07-26 21:10:18
46,11.302795,N/A,N/A,1.18e-05,31581.87,1346678905.819999,962560,N/A,2025-07-26 21:10:18
47,11.256548,N/A,N/A,1.20e-05,31565.53,2693357811.599999,983040,N/A,2025-07-26 21:10:19
48,11.848897,N/A,N/A,1.22e-05,31559.70,5386715623.189999,1003520,N/A,2025-07-26 21:10:20
49,11.828732,N/A,N/A,1.25e-05,31859.10,5386715623.839998,1024000,N/A,2025-07-26 21:10:20
50,11.309912,N/A,N/A,1.28e-05,31705.62,10773431247.349997,1044480,1.0000,2025-07-26 21:10:21
51,11.266804,N/A,N/A,1.30e-05,31722.72,10773431247.379997,1064960,N/A,2025-07-26 21:10:22
52,11.230199,N/A,N/A,1.33e-05,31701.75,21546862494.719994,1085440,N/A,2025-07-26 21:10:23
53,11.182302,N/A,N/A,1.35e-05,31698.23,43093724989.429993,1105920,N/A,2025-07-26 21:10:23
54,10.842482,N/A,N/A,1.38e-05,31710.19,43093724989.459991,1126400,N/A,2025-07-26 21:10:24
55,10.782093,N/A,N/A,1.40e-05,31716.95,43093724989.469994,1146880,N/A,2025-07-26 21:10:25
56,10.817929,N/A,N/A,1.42e-05,31706.05,86187449978.919998,1167360,N/A,2025-07-26 21:10:26
57,10.752529,N/A,N/A,1.45e-05,31718.04,86187449978.939987,1187840,N/A,2025-07-26 21:10:26
58,10.618014,N/A,N/A,1.47e-05,31729.33,86187449978.969986,1208320,N/A,2025-07-26 21:10:27
59,10.554103,N/A,N/A,1.50e-05,31885.31,86187449979.309998,1228800,N/A,2025-07-26 21:10:28
60,10.386109,N/A,N/A,1.52e-05,31735.15,172374899958.289978,1249280,1.0000,2025-07-26 21:10:28
61,10.313655,N/A,N/A,1.55e-05,31740.15,172374899958.299988,1269760,N/A,2025-07-26 21:10:29
62,9.150763,N/A,N/A,1.57e-05,31744.59,172374899958.309998,1290240,N/A,2025-07-26 21:10:30
63,9.035235,N/A,N/A,1.60e-05,31755.93,172374899958.339996,1310720,N/A,2025-07-26 21:10:31
64,9.854378,N/A,N/A,1.63e-05,31770.89,172374899958.369995,1331200,N/A,2025-07-26 21:10:31
65,9.765353,N/A,N/A,1.65e-05,31789.99,172374899958.410004,1351680,N/A,2025-07-26 21:10:32
66,10.005097,N/A,N/A,1.68e-05,31795.12,172374899958.419983,1372160,N/A,2025-07-26 21:10:33
