step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,12.239326,N/A,N/A,2.50e-07,0.00,12288,N/A,2025-07-25 17:55:47
1,12.238570,N/A,N/A,5.00e-07,1867.40,24576,N/A,2025-07-25 17:56:00
2,12.295416,N/A,N/A,7.50e-07,2748.64,36864,N/A,2025-07-25 17:56:00
3,12.291184,N/A,N/A,1.00e-06,3590.19,49152,N/A,2025-07-25 17:56:00
4,12.176174,N/A,N/A,1.25e-06,4406.83,61440,N/A,2025-07-25 17:56:01
5,12.172248,N/A,N/A,1.50e-06,5195.17,73728,N/A,2025-07-25 17:56:01
6,12.260943,N/A,N/A,1.75e-06,5955.66,86016,N/A,2025-07-25 17:56:01
7,12.255287,N/A,N/A,2.00e-06,6690.50,98304,N/A,2025-07-25 17:56:01
8,12.265470,N/A,N/A,2.25e-06,7400.97,110592,N/A,2025-07-25 17:56:02
9,12.255534,N/A,N/A,2.50e-06,8087.20,122880,N/A,2025-07-25 17:56:02
10,12.222311,N/A,N/A,2.75e-06,53415.97,135168,1.0000,2025-07-25 17:56:02
11,12.215346,N/A,N/A,3.00e-06,53427.90,147456,N/A,2025-07-25 17:56:02
12,12.217614,N/A,N/A,3.25e-06,54112.23,159744,N/A,2025-07-25 17:56:03
13,12.209341,N/A,N/A,3.50e-06,53584.11,172032,N/A,2025-07-25 17:56:03
14,12.129778,N/A,N/A,3.75e-06,53250.86,184320,N/A,2025-07-25 17:56:03
15,12.114397,N/A,N/A,4.00e-06,53129.35,196608,N/A,2025-07-25 17:56:03
16,12.174499,N/A,N/A,4.25e-06,52770.23,208896,N/A,2025-07-25 17:56:04
17,12.162930,N/A,N/A,4.50e-06,52327.65,221184,N/A,2025-07-25 17:56:04
18,12.182364,N/A,N/A,4.75e-06,51785.76,233472,N/A,2025-07-25 17:56:04
19,12.167587,N/A,N/A,5.00e-06,51355.29,245760,N/A,2025-07-25 17:56:05
20,12.143048,N/A,N/A,5.25e-06,50403.52,258048,1.0000,2025-07-25 17:56:05
21,12.120701,N/A,N/A,5.50e-06,49794.82,270336,N/A,2025-07-25 17:56:05
22,11.978859,N/A,N/A,5.75e-06,50261.22,282624,N/A,2025-07-25 17:56:05
23,11.960515,N/A,N/A,6.00e-06,50546.34,294912,N/A,2025-07-25 17:56:06
24,12.207323,N/A,N/A,6.25e-06,50539.12,307200,N/A,2025-07-25 17:56:06
25,12.189672,N/A,N/A,6.50e-06,50707.53,319488,N/A,2025-07-25 17:56:06
26,12.167048,N/A,N/A,6.75e-06,50865.21,331776,N/A,2025-07-25 17:56:06
27,12.153676,N/A,N/A,7.00e-06,51260.88,344064,N/A,2025-07-25 17:56:07
28,11.909893,N/A,N/A,7.25e-06,50954.77,356352,N/A,2025-07-25 17:56:07
29,11.880598,N/A,N/A,7.50e-06,51762.78,368640,N/A,2025-07-25 17:56:07
30,11.884887,N/A,N/A,7.75e-06,51699.99,380928,1.0000,2025-07-25 17:56:08
31,11.860973,N/A,N/A,8.00e-06,51470.63,393216,N/A,2025-07-25 17:56:08
32,11.986513,N/A,N/A,8.25e-06,51027.50,405504,N/A,2025-07-25 17:56:08
33,11.967403,N/A,N/A,8.50e-06,51035.15,417792,N/A,2025-07-25 17:56:08
34,11.841267,N/A,N/A,8.75e-06,50479.80,430080,N/A,2025-07-25 17:56:09
35,11.819141,N/A,N/A,9.00e-06,50697.92,442368,N/A,2025-07-25 17:56:09
36,11.960375,N/A,N/A,9.25e-06,50599.80,454656,N/A,2025-07-25 17:56:09
37,11.939071,N/A,N/A,9.50e-06,51650.08,466944,N/A,2025-07-25 17:56:09
38,11.626020,N/A,N/A,9.75e-06,51721.22,479232,N/A,2025-07-25 17:56:10
39,11.591163,N/A,N/A,1.00e-05,52410.27,491520,N/A,2025-07-25 17:56:10
40,11.598195,N/A,N/A,1.03e-05,52252.15,503808,1.0000,2025-07-25 17:56:10
41,11.557795,N/A,N/A,1.05e-05,52721.32,516096,N/A,2025-07-25 17:56:10
42,11.714498,N/A,N/A,1.08e-05,52820.64,528384,N/A,2025-07-25 17:56:11
43,11.683732,N/A,N/A,1.10e-05,53482.71,540672,N/A,2025-07-25 17:56:11
44,11.269316,N/A,N/A,1.13e-05,53496.53,552960,N/A,2025-07-25 17:56:11
45,11.220906,N/A,N/A,1.15e-05,53786.07,565248,N/A,2025-07-25 17:56:11
46,11.591446,N/A,N/A,1.18e-05,53653.12,577536,N/A,2025-07-25 17:56:12
47,11.555460,N/A,N/A,1.20e-05,53752.22,589824,N/A,2025-07-25 17:56:12
48,11.240127,N/A,N/A,1.22e-05,53771.81,602112,N/A,2025-07-25 17:56:12
49,11.191061,N/A,N/A,1.25e-05,54158.40,614400,N/A,2025-07-25 17:56:12
50,10.900199,N/A,N/A,1.28e-05,53748.98,626688,1.0000,2025-07-25 17:56:13
51,10.838160,N/A,N/A,1.30e-05,53743.00,638976,N/A,2025-07-25 17:56:13
52,11.259286,N/A,N/A,1.33e-05,53772.93,651264,N/A,2025-07-25 17:56:13
53,11.211409,N/A,N/A,1.35e-05,53726.11,663552,N/A,2025-07-25 17:56:13
54,11.022283,N/A,N/A,1.38e-05,53573.29,675840,N/A,2025-07-25 17:56:14
55,10.965872,N/A,N/A,1.40e-05,53690.96,688128,N/A,2025-07-25 17:56:14
56,11.402060,N/A,N/A,1.42e-05,53625.27,700416,N/A,2025-07-25 17:56:14
57,11.364954,N/A,N/A,1.45e-05,53613.71,712704,N/A,2025-07-25 17:56:14
58,10.732771,N/A,N/A,1.47e-05,53629.76,724992,N/A,2025-07-25 17:56:15
59,10.669708,N/A,N/A,1.50e-05,53672.40,737280,N/A,2025-07-25 17:56:15
60,11.723000,N/A,N/A,1.52e-05,53308.02,749568,1.0000,2025-07-25 17:56:15
61,11.696903,N/A,N/A,1.55e-05,53354.50,761856,N/A,2025-07-25 17:56:16
62,10.894448,N/A,N/A,1.57e-05,53387.29,774144,N/A,2025-07-25 17:56:16
63,10.843776,N/A,N/A,1.60e-05,53105.57,786432,N/A,2025-07-25 17:56:16
64,11.065707,N/A,N/A,1.63e-05,53087.21,798720,N/A,2025-07-25 17:56:16
65,11.017952,N/A,N/A,1.65e-05,53185.17,811008,N/A,2025-07-25 17:56:17
66,11.150040,N/A,N/A,1.68e-05,53174.77,823296,N/A,2025-07-25 17:56:17
67,11.106422,N/A,N/A,1.70e-05,53215.91,835584,N/A,2025-07-25 17:56:17
68,11.217582,N/A,N/A,1.73e-05,53511.86,847872,N/A,2025-07-25 17:56:17
69,11.175945,N/A,N/A,1.75e-05,53914.02,860160,N/A,2025-07-25 17:56:18
70,11.199826,N/A,N/A,1.78e-05,53523.75,872448,1.0000,2025-07-25 17:56:18
71,11.162971,N/A,N/A,1.80e-05,53533.30,884736,N/A,2025-07-25 17:56:18
72,10.186751,N/A,N/A,1.82e-05,53930.13,897024,N/A,2025-07-25 17:56:18
73,10.121876,N/A,N/A,1.85e-05,53990.30,909312,N/A,2025-07-25 17:56:19
74,11.273213,N/A,N/A,1.88e-05,53919.11,921600,N/A,2025-07-25 17:56:19
75,11.239152,N/A,N/A,1.90e-05,53461.18,933888,N/A,2025-07-25 17:56:19
76,9.896702,N/A,N/A,1.93e-05,53420.17,946176,N/A,2025-07-25 17:56:19
77,9.816010,N/A,N/A,1.95e-05,53459.38,958464,N/A,2025-07-25 17:56:20
78,10.199876,N/A,N/A,1.98e-05,53437.43,970752,N/A,2025-07-25 17:56:20
79,10.137951,N/A,N/A,2.00e-05,53796.73,983040,N/A,2025-07-25 17:56:20
80,11.806971,N/A,N/A,2.02e-05,53392.55,995328,1.0000,2025-07-25 17:56:20
81,11.788820,N/A,N/A,2.05e-05,53383.06,1007616,N/A,2025-07-25 17:56:21
82,10.385256,N/A,N/A,2.07e-05,52718.40,1019904,N/A,2025-07-25 17:56:21
83,10.330207,N/A,N/A,2.10e-05,52748.42,1032192,N/A,2025-07-25 17:56:21
84,10.371075,N/A,N/A,2.13e-05,53186.08,1044480,N/A,2025-07-25 17:56:21
85,10.317410,N/A,N/A,2.15e-05,53175.81,1056768,N/A,2025-07-25 17:56:22
86,9.795883,N/A,N/A,2.18e-05,53202.77,1069056,N/A,2025-07-25 17:56:22
87,9.729742,N/A,N/A,2.20e-05,53205.16,1081344,N/A,2025-07-25 17:56:22
88,10.646418,N/A,N/A,2.22e-05,53270.49,1093632,N/A,2025-07-25 17:56:22
89,10.603142,N/A,N/A,2.25e-05,53651.74,1105920,N/A,2025-07-25 17:56:23
90,9.647999,N/A,N/A,2.28e-05,53314.86,1118208,1.0000,2025-07-25 17:56:23
91,9.581487,N/A,N/A,2.30e-05,53973.65,1130496,N/A,2025-07-25 17:56:23
92,9.429910,N/A,N/A,2.33e-05,53933.71,1142784,N/A,2025-07-25 17:56:23
93,9.358830,N/A,N/A,2.35e-05,53953.43,1155072,N/A,2025-07-25 17:56:24
94,9.578756,N/A,N/A,2.37e-05,53966.55,1167360,N/A,2025-07-25 17:56:24
95,9.516452,N/A,N/A,2.40e-05,53953.18,1179648,N/A,2025-07-25 17:56:24
96,8.150068,N/A,N/A,2.42e-05,53955.02,1191936,N/A,2025-07-25 17:56:24
97,7.288633,N/A,N/A,2.45e-05,53262.20,1204224,N/A,2025-07-25 17:56:25
98,8.858609,N/A,N/A,2.48e-05,53258.08,1216512,N/A,2025-07-25 17:56:25
99,8.925658,N/A,N/A,2.50e-05,53296.24,1228800,N/A,2025-07-25 17:56:25
100,9.719191,N/A,N/A,2.53e-05,52847.17,1241088,1.0000,2025-07-25 17:56:25
101,8.285598,N/A,N/A,2.55e-05,31252.35,1253376,N/A,2025-07-25 17:56:27
102,8.552884,N/A,N/A,2.57e-05,31148.00,1265664,N/A,2025-07-25 17:56:28
103,8.905195,N/A,N/A,2.60e-05,31153.63,1277952,N/A,2025-07-25 17:56:28
104,7.722406,N/A,N/A,2.63e-05,31121.13,1290240,N/A,2025-07-25 17:56:28
105,9.086473,N/A,N/A,2.65e-05,31091.44,1302528,N/A,2025-07-25 17:56:28
106,8.887394,N/A,N/A,2.68e-05,31224.98,1314816,N/A,2025-07-25 17:56:29
107,8.051658,N/A,N/A,2.70e-05,31223.10,1327104,N/A,2025-07-25 17:56:29
108,8.616154,N/A,N/A,2.72e-05,31243.68,1339392,N/A,2025-07-25 17:56:29
