step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,12.370255,N/A,N/A,2.50e-07,0.00,12288,N/A,2025-07-14 12:56:13
1,12.368865,N/A,N/A,5.00e-07,2882.66,24576,N/A,2025-07-14 12:56:21
2,12.533358,N/A,N/A,7.50e-07,4161.12,36864,N/A,2025-07-14 12:56:22
3,12.528328,N/A,N/A,1.00e-06,5346.13,49152,N/A,2025-07-14 12:56:22
4,12.360418,N/A,N/A,1.25e-06,6444.64,61440,N/A,2025-07-14 12:56:22
5,12.354161,N/A,N/A,1.50e-06,7453.43,73728,N/A,2025-07-14 12:56:23
6,12.465833,N/A,N/A,1.75e-06,8407.90,86016,N/A,2025-07-14 12:56:23
7,12.456689,N/A,N/A,2.00e-06,9306.28,98304,N/A,2025-07-14 12:56:23
8,12.470771,N/A,N/A,2.25e-06,10134.18,110592,N/A,2025-07-14 12:56:24
9,12.459275,N/A,N/A,2.50e-06,10912.82,122880,N/A,2025-07-14 12:56:24
10,12.218470,N/A,N/A,2.75e-06,39039.82,135168,0.9449,2025-07-14 12:56:24
11,12.206302,N/A,N/A,3.00e-06,38041.58,147456,N/A,2025-07-14 12:56:25
12,12.385859,N/A,N/A,3.25e-06,37869.13,159744,N/A,2025-07-14 12:56:25
13,12.373498,N/A,N/A,3.50e-06,37621.22,172032,N/A,2025-07-14 12:56:26
14,12.469346,N/A,N/A,3.75e-06,37499.52,184320,N/A,2025-07-14 12:56:26
15,12.448665,N/A,N/A,4.00e-06,37340.86,196608,N/A,2025-07-14 12:56:26
16,12.109286,N/A,N/A,4.25e-06,37177.65,208896,N/A,2025-07-14 12:56:27
17,12.092553,N/A,N/A,4.50e-06,36476.21,221184,N/A,2025-07-14 12:56:27
18,12.249919,N/A,N/A,4.75e-06,36453.50,233472,N/A,2025-07-14 12:56:27
19,12.230796,N/A,N/A,5.00e-06,37137.03,245760,N/A,2025-07-14 12:56:28
20,12.056197,N/A,N/A,5.25e-06,37918.80,258048,0.9205,2025-07-14 12:56:28
21,12.027259,N/A,N/A,5.50e-06,38016.37,270336,N/A,2025-07-14 12:56:28
22,12.235235,N/A,N/A,5.75e-06,38347.61,282624,N/A,2025-07-14 12:56:29
23,12.212778,N/A,N/A,6.00e-06,38768.80,294912,N/A,2025-07-14 12:56:29
24,12.259333,N/A,N/A,6.25e-06,38412.58,307200,N/A,2025-07-14 12:56:30
25,12.236254,N/A,N/A,6.50e-06,38585.74,319488,N/A,2025-07-14 12:56:30
26,12.263716,N/A,N/A,6.75e-06,39386.08,331776,N/A,2025-07-14 12:56:30
27,12.246041,N/A,N/A,7.00e-06,39583.15,344064,N/A,2025-07-14 12:56:31
28,11.791504,N/A,N/A,7.25e-06,39581.01,356352,N/A,2025-07-14 12:56:31
