step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,12.259296,N/A,N/A,2.50e-07,0.00,12288,N/A,2025-07-25 17:52:53
1,12.257113,N/A,N/A,5.00e-07,4225.12,24576,N/A,2025-07-25 17:52:59
2,12.341627,N/A,N/A,7.50e-07,5985.40,36864,N/A,2025-07-25 17:52:59
3,12.337055,N/A,N/A,1.00e-06,7559.50,49152,N/A,2025-07-25 17:53:00
4,12.282955,N/A,N/A,1.25e-06,8957.61,61440,N/A,2025-07-25 17:53:00
5,12.279249,N/A,N/A,1.50e-06,10249.52,73728,N/A,2025-07-25 17:53:00
6,12.303010,N/A,N/A,1.75e-06,11403.08,86016,N/A,2025-07-25 17:53:01
7,12.296936,N/A,N/A,2.00e-06,12458.76,98304,N/A,2025-07-25 17:53:01
8,12.236365,N/A,N/A,2.25e-06,13425.14,110592,N/A,2025-07-25 17:53:01
9,12.231157,N/A,N/A,2.50e-06,14327.31,122880,N/A,2025-07-25 17:53:02
10,12.356053,N/A,N/A,2.75e-06,39206.86,135168,1.0000,2025-07-25 17:53:02
11,12.348615,N/A,N/A,3.00e-06,39033.52,147456,N/A,2025-07-25 17:53:03
12,12.080324,N/A,N/A,3.25e-06,39018.26,159744,N/A,2025-07-25 17:53:03
13,12.069887,N/A,N/A,3.50e-06,39332.48,172032,N/A,2025-07-25 17:53:03
14,12.226499,N/A,N/A,3.75e-06,39353.69,184320,N/A,2025-07-25 17:53:04
15,12.211826,N/A,N/A,4.00e-06,39621.16,196608,N/A,2025-07-25 17:53:04
16,12.180270,N/A,N/A,4.25e-06,39884.19,208896,N/A,2025-07-25 17:53:04
17,12.168092,N/A,N/A,4.50e-06,40041.19,221184,N/A,2025-07-25 17:53:05
18,12.293285,N/A,N/A,4.75e-06,40124.41,233472,N/A,2025-07-25 17:53:05
19,12.276872,N/A,N/A,5.00e-06,40650.73,245760,N/A,2025-07-25 17:53:05
20,12.213756,N/A,N/A,5.25e-06,40669.87,258048,1.0000,2025-07-25 17:53:06
21,12.193299,N/A,N/A,5.50e-06,40821.01,270336,N/A,2025-07-25 17:53:06
22,12.010406,N/A,N/A,5.75e-06,40709.59,282624,N/A,2025-07-25 17:53:06
23,11.994562,N/A,N/A,6.00e-06,40704.04,294912,N/A,2025-07-25 17:53:07
24,12.092777,N/A,N/A,6.25e-06,40670.52,307200,N/A,2025-07-25 17:53:07
25,12.075279,N/A,N/A,6.50e-06,40613.75,319488,N/A,2025-07-25 17:53:07
26,12.097380,N/A,N/A,6.75e-06,40621.57,331776,N/A,2025-07-25 17:53:08
