step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,tokens_per_sec_per_M_params,total_tokens,grad_norm,timestamp
0,12.875810,N/A,N/A,2.50e-07,0.00,0.00,16384,N/A,2025-08-04 13:54:03
1,12.874591,N/A,N/A,5.00e-07,400.93,1.73,32768,N/A,2025-08-04 13:55:25
2,12.297329,N/A,N/A,7.50e-07,598.74,2.59,49152,N/A,2025-08-04 13:55:25
3,12.295474,N/A,N/A,1.00e-06,776.76,3.36,65536,N/A,2025-08-04 13:55:27
4,12.708700,N/A,N/A,1.25e-06,966.84,4.18,81920,N/A,2025-08-04 13:55:28
5,12.705632,N/A,N/A,1.50e-06,1155.29,5.00,98304,N/A,2025-08-04 13:55:28
6,12.597851,N/A,N/A,1.75e-06,1341.76,5.80,114688,N/A,2025-08-04 13:55:28
7,12.592278,N/A,N/A,2.00e-06,1526.96,6.60,131072,N/A,2025-08-04 13:55:29
8,12.534548,N/A,N/A,2.25e-06,1710.61,7.40,147456,N/A,2025-08-04 13:55:29
9,12.527468,N/A,N/A,2.50e-06,1892.64,8.18,163840,N/A,2025-08-04 13:55:29
10,12.591827,N/A,N/A,2.75e-06,31277.39,135.26,180224,1.0000,2025-08-04 13:55:30
11,12.581298,N/A,N/A,3.00e-06,31270.72,135.23,196608,N/A,2025-08-04 13:55:30
12,12.409943,N/A,N/A,3.25e-06,49074.89,212.23,212992,N/A,2025-08-04 13:55:31
13,12.399463,N/A,N/A,3.50e-06,49002.29,211.91,229376,N/A,2025-08-04 13:55:31
14,12.428760,N/A,N/A,3.75e-06,48669.33,210.47,245760,N/A,2025-08-04 13:55:31
15,12.417310,N/A,N/A,4.00e-06,48984.60,211.84,262144,N/A,2025-08-04 13:55:32
16,12.718076,N/A,N/A,4.25e-06,48735.01,210.76,278528,N/A,2025-08-04 13:55:32
17,12.703505,N/A,N/A,4.50e-06,48758.98,210.86,294912,N/A,2025-08-04 13:55:32
18,12.425065,N/A,N/A,4.75e-06,48548.35,209.95,311296,N/A,2025-08-04 13:55:33
19,12.413676,N/A,N/A,5.00e-06,49104.86,212.36,327680,N/A,2025-08-04 13:55:33
20,12.313579,N/A,N/A,5.25e-06,48537.24,209.90,344064,1.0000,2025-08-04 13:55:34
21,12.300686,N/A,N/A,5.50e-06,48807.88,211.07,360448,N/A,2025-08-04 13:55:34
22,12.612380,N/A,N/A,5.75e-06,48477.19,209.64,376832,N/A,2025-08-04 13:55:34
23,12.594613,N/A,N/A,6.00e-06,48778.24,210.95,393216,N/A,2025-08-04 13:55:35
24,12.312908,N/A,N/A,6.25e-06,48829.21,211.17,409600,N/A,2025-08-04 13:55:35
25,12.300961,N/A,N/A,6.50e-06,48791.40,211.00,425984,N/A,2025-08-04 13:55:35
26,12.289801,N/A,N/A,6.75e-06,48746.68,210.81,442368,N/A,2025-08-04 13:55:36
27,12.277318,N/A,N/A,7.00e-06,48742.20,210.79,458752,N/A,2025-08-04 13:55:36
28,12.251519,N/A,N/A,7.25e-06,48777.74,210.94,475136,N/A,2025-08-04 13:55:36
29,12.230293,N/A,N/A,7.50e-06,49103.39,212.35,491520,N/A,2025-08-04 13:55:37
30,12.322478,N/A,N/A,7.75e-06,48784.47,210.97,507904,1.0000,2025-08-04 13:55:37
31,12.301569,N/A,N/A,8.00e-06,48909.40,211.51,524288,N/A,2025-08-04 13:55:38
32,12.146206,N/A,N/A,8.25e-06,48878.70,211.38,540672,N/A,2025-08-04 13:55:38
33,12.127473,N/A,N/A,8.50e-06,48495.83,209.72,557056,N/A,2025-08-04 13:55:38
34,12.307373,N/A,N/A,8.75e-06,48722.08,210.70,573440,N/A,2025-08-04 13:55:39
35,12.272901,N/A,N/A,9.00e-06,48729.23,210.73,589824,N/A,2025-08-04 13:55:39
36,12.292877,N/A,N/A,9.25e-06,48852.29,211.27,606208,N/A,2025-08-04 13:55:39
37,12.257640,N/A,N/A,9.50e-06,48828.61,211.16,622592,N/A,2025-08-04 13:55:40
38,12.365489,N/A,N/A,9.75e-06,49029.31,212.03,638976,N/A,2025-08-04 13:55:40
39,12.322414,N/A,N/A,1.00e-05,48934.95,211.62,655360,N/A,2025-08-04 13:55:41
40,11.985883,N/A,N/A,1.03e-05,48646.56,210.38,671744,1.0000,2025-08-04 13:55:41
41,11.948232,N/A,N/A,1.05e-05,48678.45,210.51,688128,N/A,2025-08-04 13:55:41
42,11.972834,N/A,N/A,1.08e-05,48764.33,210.89,704512,N/A,2025-08-04 13:55:42
43,11.943235,N/A,N/A,1.10e-05,48748.92,210.82,720896,N/A,2025-08-04 13:55:42
44,11.951821,N/A,N/A,1.13e-05,48504.28,209.76,737280,N/A,2025-08-04 13:55:42
45,11.923432,N/A,N/A,1.15e-05,48626.09,210.29,753664,N/A,2025-08-04 13:55:43
46,11.966713,N/A,N/A,1.18e-05,48369.51,209.18,770048,N/A,2025-08-04 13:55:43
47,11.933013,N/A,N/A,1.20e-05,48383.99,209.24,786432,N/A,2025-08-04 13:55:44
48,11.892035,N/A,N/A,1.22e-05,48483.94,209.67,802816,N/A,2025-08-04 13:55:44
49,11.856681,N/A,N/A,1.25e-05,48986.01,211.84,819200,N/A,2025-08-04 13:55:44
50,11.774175,N/A,N/A,1.28e-05,48707.18,210.64,835584,1.0000,2025-08-04 13:55:45
51,11.743734,N/A,N/A,1.30e-05,48690.14,210.56,851968,N/A,2025-08-04 13:55:45
52,11.887877,N/A,N/A,1.33e-05,48768.33,210.90,868352,N/A,2025-08-04 13:55:45
53,11.860105,N/A,N/A,1.35e-05,49006.38,211.93,884736,N/A,2025-08-04 13:55:46
54,11.983982,N/A,N/A,1.38e-05,49030.08,212.03,901120,N/A,2025-08-04 13:55:46
55,11.943758,N/A,N/A,1.40e-05,48999.83,211.90,917504,N/A,2025-08-04 13:55:47
56,11.827489,N/A,N/A,1.42e-05,48731.00,210.74,933888,N/A,2025-08-04 13:55:47
57,11.782582,N/A,N/A,1.45e-05,49025.60,212.02,950272,N/A,2025-08-04 13:55:47
58,11.592744,N/A,N/A,1.47e-05,49019.65,211.99,966656,N/A,2025-08-04 13:55:48
59,11.552180,N/A,N/A,1.50e-05,48787.01,210.98,983040,N/A,2025-08-04 13:55:48
60,11.995790,N/A,N/A,1.52e-05,48825.62,211.15,999424,1.0000,2025-08-04 13:55:48
61,11.984245,N/A,N/A,1.55e-05,48570.32,210.05,1015808,N/A,2025-08-04 13:55:49
62,11.346946,N/A,N/A,1.57e-05,48615.78,210.24,1032192,N/A,2025-08-04 13:55:49
63,11.304373,N/A,N/A,1.60e-05,48358.76,209.13,1048576,N/A,2025-08-04 13:55:50
64,11.497405,N/A,N/A,1.63e-05,48678.12,210.51,1064960,N/A,2025-08-04 13:55:50
65,11.454312,N/A,N/A,1.65e-05,48679.00,210.52,1081344,N/A,2025-08-04 13:55:50
66,11.432831,N/A,N/A,1.68e-05,48700.72,210.61,1097728,N/A,2025-08-04 13:55:51
67,11.395233,N/A,N/A,1.70e-05,48776.11,210.94,1114112,N/A,2025-08-04 13:55:51
68,11.054800,N/A,N/A,1.73e-05,49074.69,212.23,1130496,N/A,2025-08-04 13:55:51
69,10.998117,N/A,N/A,1.75e-05,49090.48,212.30,1146880,N/A,2025-08-04 13:55:52
70,11.197227,N/A,N/A,1.78e-05,48716.49,210.68,1163264,1.0000,2025-08-04 13:55:52
71,11.149871,N/A,N/A,1.80e-05,48682.17,210.53,1179648,N/A,2025-08-04 13:55:53
72,11.013491,N/A,N/A,1.82e-05,48591.85,210.14,1196032,N/A,2025-08-04 13:55:53
73,10.946485,N/A,N/A,1.85e-05,48568.47,210.04,1212416,N/A,2025-08-04 13:55:53
74,10.285393,N/A,N/A,1.88e-05,48593.73,210.15,1228800,N/A,2025-08-04 13:55:54
75,10.219842,N/A,N/A,1.90e-05,48557.39,209.99,1245184,N/A,2025-08-04 13:55:54
76,10.780750,N/A,N/A,1.93e-05,48207.94,208.48,1261568,N/A,2025-08-04 13:55:54
77,10.718674,N/A,N/A,1.95e-05,48440.19,209.48,1277952,N/A,2025-08-04 13:55:55
78,9.561471,N/A,N/A,1.98e-05,48703.51,210.62,1294336,N/A,2025-08-04 13:55:55
79,9.448342,N/A,N/A,2.00e-05,49338.51,213.37,1310720,N/A,2025-08-04 13:55:56
80,10.045774,N/A,N/A,2.02e-05,48722.14,210.70,1327104,1.0000,2025-08-04 13:55:56
81,9.959331,N/A,N/A,2.05e-05,48852.77,211.27,1343488,N/A,2025-08-04 13:55:56
82,9.932168,N/A,N/A,2.07e-05,48547.77,209.95,1359872,N/A,2025-08-04 13:55:57
83,9.851582,N/A,N/A,2.10e-05,48616.59,210.25,1376256,N/A,2025-08-04 13:55:57
84,10.329253,N/A,N/A,2.13e-05,48637.29,210.34,1392640,N/A,2025-08-04 13:55:57
85,10.262343,N/A,N/A,2.15e-05,48716.77,210.68,1409024,N/A,2025-08-04 13:55:58
86,9.964307,N/A,N/A,2.18e-05,48265.46,208.73,1425408,N/A,2025-08-04 13:55:58
87,9.895455,N/A,N/A,2.20e-05,48253.26,208.68,1441792,N/A,2025-08-04 13:55:59
88,10.925581,N/A,N/A,2.22e-05,48298.09,208.87,1458176,N/A,2025-08-04 13:55:59
89,10.877153,N/A,N/A,2.25e-05,48633.06,210.32,1474560,N/A,2025-08-04 13:55:59
