step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,12.348239,N/A,N/A,2.50e-07,0.00,8192,N/A,2025-07-26 15:14:16
1,12.342724,N/A,N/A,5.00e-07,1346.69,16384,N/A,2025-07-26 15:14:28
2,11.909174,N/A,N/A,7.50e-07,1878.15,24576,N/A,2025-07-26 15:14:29
3,11.887308,N/A,N/A,1.00e-06,2357.54,32768,N/A,2025-07-26 15:14:30
4,12.275822,N/A,N/A,1.25e-06,2775.64,40960,N/A,2025-07-26 15:14:31
5,12.264088,N/A,N/A,1.50e-06,3118.43,49152,N/A,2025-07-26 15:14:32
6,12.415380,N/A,N/A,1.75e-06,3460.32,57344,N/A,2025-07-26 15:14:33
7,12.399248,N/A,N/A,2.00e-06,3771.69,65536,N/A,2025-07-26 15:14:34
8,12.300659,N/A,N/A,2.25e-06,4054.75,73728,N/A,2025-07-26 15:14:34
9,12.277008,N/A,N/A,2.50e-06,4310.64,81920,N/A,2025-07-26 15:14:35
10,12.226668,N/A,N/A,2.75e-06,10544.41,90112,1.0000,2025-07-26 15:14:36
11,12.205350,N/A,N/A,3.00e-06,10690.73,98304,N/A,2025-07-26 15:14:37
12,11.947077,N/A,N/A,3.25e-06,10685.04,106496,N/A,2025-07-26 15:14:38
13,11.904429,N/A,N/A,3.50e-06,10757.37,114688,N/A,2025-07-26 15:14:39
14,12.353952,N/A,N/A,3.75e-06,11040.30,122880,N/A,2025-07-26 15:14:39
15,12.335848,N/A,N/A,4.00e-06,10955.47,131072,N/A,2025-07-26 15:14:40
16,11.994638,N/A,N/A,4.25e-06,10962.89,139264,N/A,2025-07-26 15:14:41
17,11.958400,N/A,N/A,4.50e-06,10963.49,147456,N/A,2025-07-26 15:14:42
18,12.108088,N/A,N/A,4.75e-06,10891.12,155648,N/A,2025-07-26 15:14:43
19,12.069798,N/A,N/A,5.00e-06,11035.00,163840,N/A,2025-07-26 15:14:44
20,12.251226,N/A,N/A,5.25e-06,10885.18,172032,1.0000,2025-07-26 15:14:44
21,12.208078,N/A,N/A,5.50e-06,10799.77,180224,N/A,2025-07-26 15:14:45
22,12.041175,N/A,N/A,5.75e-06,10781.23,188416,N/A,2025-07-26 15:14:46
23,11.989896,N/A,N/A,6.00e-06,10802.40,196608,N/A,2025-07-26 15:14:47
24,12.112267,N/A,N/A,6.25e-06,10855.36,204800,N/A,2025-07-26 15:14:48
25,12.080473,N/A,N/A,6.50e-06,10783.24,212992,N/A,2025-07-26 15:14:49
26,11.845441,N/A,N/A,6.75e-06,10810.89,221184,N/A,2025-07-26 15:14:49
27,11.786002,N/A,N/A,7.00e-06,10898.70,229376,N/A,2025-07-26 15:14:50
28,12.088851,N/A,N/A,7.25e-06,10942.01,237568,N/A,2025-07-26 15:14:51
29,12.044546,N/A,N/A,7.50e-06,11106.70,245760,N/A,2025-07-26 15:14:52
30,11.466849,N/A,N/A,7.75e-06,11088.70,253952,1.0000,2025-07-26 15:14:53
31,11.410631,N/A,N/A,8.00e-06,11105.35,262144,N/A,2025-07-26 15:14:54
32,11.189644,N/A,N/A,8.25e-06,11074.00,270336,N/A,2025-07-26 15:14:54
33,11.102502,N/A,N/A,8.50e-06,11103.09,278528,N/A,2025-07-26 15:14:55
34,11.782599,N/A,N/A,8.75e-06,11052.42,286720,N/A,2025-07-26 15:14:56
35,11.722034,N/A,N/A,9.00e-06,10972.45,294912,N/A,2025-07-26 15:14:57
36,11.799183,N/A,N/A,9.25e-06,10871.21,303104,N/A,2025-07-26 15:14:58
37,11.742304,N/A,N/A,9.50e-06,10898.61,311296,N/A,2025-07-26 15:14:59
38,11.939780,N/A,N/A,9.75e-06,10925.63,319488,N/A,2025-07-26 15:14:59
39,11.889382,N/A,N/A,1.00e-05,10994.39,327680,N/A,2025-07-26 15:15:00
40,11.859595,N/A,N/A,1.03e-05,10790.78,335872,1.0000,2025-07-26 15:15:01
41,11.801430,N/A,N/A,1.05e-05,10819.00,344064,N/A,2025-07-26 15:15:02
42,11.292832,N/A,N/A,1.08e-05,10832.60,352256,N/A,2025-07-26 15:15:03
43,11.213187,N/A,N/A,1.10e-05,10902.73,360448,N/A,2025-07-26 15:15:04
44,10.515167,N/A,N/A,1.13e-05,10908.18,368640,N/A,2025-07-26 15:15:04
45,10.412958,N/A,N/A,1.15e-05,10923.14,376832,N/A,2025-07-26 15:15:05
46,11.533234,N/A,N/A,1.18e-05,10898.10,385024,N/A,2025-07-26 15:15:06
47,11.459075,N/A,N/A,1.20e-05,10866.69,393216,N/A,2025-07-26 15:15:07
