step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,12.620586,N/A,N/A,2.50e-07,0.00,8192,N/A,2025-07-26 13:17:58
1,12.615774,N/A,N/A,5.00e-07,652.07,16384,N/A,2025-07-26 13:18:23
2,12.478149,N/A,N/A,7.50e-07,922.48,24576,N/A,2025-07-26 13:18:24
3,12.458554,N/A,N/A,1.00e-06,1157.42,32768,N/A,2025-07-26 13:18:26
4,12.483581,N/A,N/A,1.25e-06,1376.48,40960,N/A,2025-07-26 13:18:28
5,12.471427,N/A,N/A,1.50e-06,1577.63,49152,N/A,2025-07-26 13:18:29
6,12.485439,N/A,N/A,1.75e-06,1753.96,57344,N/A,2025-07-26 13:18:30
7,12.471745,N/A,N/A,2.00e-06,1918.08,65536,N/A,2025-07-26 13:18:32
8,12.558595,N/A,N/A,2.25e-06,2065.81,73728,N/A,2025-07-26 13:18:33
9,12.534560,N/A,N/A,2.50e-06,2211.15,81920,N/A,2025-07-26 13:18:35
10,12.597817,N/A,N/A,2.75e-06,6107.58,90112,1.0000,2025-07-26 13:18:36
11,12.580439,N/A,N/A,3.00e-06,6162.22,98304,N/A,2025-07-26 13:18:38
12,12.059441,N/A,N/A,3.25e-06,6291.76,106496,N/A,2025-07-26 13:18:39
13,12.022126,N/A,N/A,3.50e-06,6296.69,114688,N/A,2025-07-26 13:18:41
14,12.555264,N/A,N/A,3.75e-06,6291.80,122880,N/A,2025-07-26 13:18:42
15,12.535909,N/A,N/A,4.00e-06,6388.53,131072,N/A,2025-07-26 13:18:43
16,12.494857,N/A,N/A,4.25e-06,6451.24,139264,N/A,2025-07-26 13:18:45
17,12.457749,N/A,N/A,4.50e-06,6512.03,147456,N/A,2025-07-26 13:18:46
18,12.360345,N/A,N/A,4.75e-06,6500.50,155648,N/A,2025-07-26 13:18:47
19,12.322028,N/A,N/A,5.00e-06,6534.34,163840,N/A,2025-07-26 13:18:49
20,12.380729,N/A,N/A,5.25e-06,6468.37,172032,1.0000,2025-07-26 13:18:50
21,12.345677,N/A,N/A,5.50e-06,6480.30,180224,N/A,2025-07-26 13:18:52
22,12.037388,N/A,N/A,5.75e-06,6449.40,188416,N/A,2025-07-26 13:18:53
23,11.985099,N/A,N/A,6.00e-06,6349.05,196608,N/A,2025-07-26 13:18:55
24,12.253141,N/A,N/A,6.25e-06,6320.40,204800,N/A,2025-07-26 13:18:56
25,12.225248,N/A,N/A,6.50e-06,6277.45,212992,N/A,2025-07-26 13:18:58
26,12.185657,N/A,N/A,6.75e-06,6268.16,221184,N/A,2025-07-26 13:18:59
27,12.126344,N/A,N/A,7.00e-06,6261.90,229376,N/A,2025-07-26 13:19:01
28,12.303405,N/A,N/A,7.25e-06,6277.65,237568,N/A,2025-07-26 13:19:02
29,12.262886,N/A,N/A,7.50e-06,6338.74,245760,N/A,2025-07-26 13:19:03
30,12.028443,N/A,N/A,7.75e-06,6250.75,253952,1.0000,2025-07-26 13:19:05
31,11.968050,N/A,N/A,8.00e-06,6287.92,262144,N/A,2025-07-26 13:19:06
32,11.576814,N/A,N/A,8.25e-06,6366.73,270336,N/A,2025-07-26 13:19:08
33,11.496384,N/A,N/A,8.50e-06,6393.51,278528,N/A,2025-07-26 13:19:09
34,12.010008,N/A,N/A,8.75e-06,6382.53,286720,N/A,2025-07-26 13:19:11
35,11.950612,N/A,N/A,9.00e-06,6363.56,294912,N/A,2025-07-26 13:19:12
36,12.067154,N/A,N/A,9.25e-06,6313.07,303104,N/A,2025-07-26 13:19:13
37,12.006618,N/A,N/A,9.50e-06,6235.76,311296,N/A,2025-07-26 13:19:15
38,12.174674,N/A,N/A,9.75e-06,6223.05,319488,N/A,2025-07-26 13:19:16
39,12.128522,N/A,N/A,1.00e-05,6273.59,327680,N/A,2025-07-26 13:19:18
40,12.083677,N/A,N/A,1.03e-05,6236.66,335872,1.0000,2025-07-26 13:19:19
41,12.017407,N/A,N/A,1.05e-05,6303.18,344064,N/A,2025-07-26 13:19:21
42,11.431608,N/A,N/A,1.08e-05,6188.69,352256,N/A,2025-07-26 13:19:22
43,11.366318,N/A,N/A,1.10e-05,6171.69,360448,N/A,2025-07-26 13:19:24
44,11.118443,N/A,N/A,1.13e-05,6203.43,368640,N/A,2025-07-26 13:19:25
45,11.024393,N/A,N/A,1.15e-05,6193.84,376832,N/A,2025-07-26 13:19:27
46,11.862003,N/A,N/A,1.18e-05,6305.85,385024,N/A,2025-07-26 13:19:28
47,11.796211,N/A,N/A,1.20e-05,6220.27,393216,N/A,2025-07-26 13:19:30
48,11.696764,N/A,N/A,1.22e-05,6248.24,401408,N/A,2025-07-26 13:19:31
49,11.627705,N/A,N/A,1.25e-05,6301.39,409600,N/A,2025-07-26 13:19:32
50,11.909783,N/A,N/A,1.28e-05,6191.58,417792,1.0000,2025-07-26 13:19:34
51,11.853848,N/A,N/A,1.30e-05,6274.49,425984,N/A,2025-07-26 13:19:35
52,11.360835,N/A,N/A,1.33e-05,6319.77,434176,N/A,2025-07-26 13:19:37
53,11.270094,N/A,N/A,1.35e-05,6310.08,442368,N/A,2025-07-26 13:19:38
54,11.849056,N/A,N/A,1.38e-05,6368.00,450560,N/A,2025-07-26 13:19:40
55,11.798578,N/A,N/A,1.40e-05,6339.40,458752,N/A,2025-07-26 13:19:41
56,10.466755,N/A,N/A,1.42e-05,6436.32,466944,N/A,2025-07-26 13:19:42
57,10.362498,N/A,N/A,1.45e-05,6382.61,475136,N/A,2025-07-26 13:19:44
58,10.672432,N/A,N/A,1.47e-05,6219.26,483328,N/A,2025-07-26 13:19:46
59,10.587010,N/A,N/A,1.50e-05,6272.02,491520,N/A,2025-07-26 13:19:47
60,10.599449,N/A,N/A,1.52e-05,6208.86,499712,1.0000,2025-07-26 13:19:49
61,10.497242,N/A,N/A,1.55e-05,6208.82,507904,N/A,2025-07-26 13:19:50
62,10.339363,N/A,N/A,1.57e-05,6250.24,516096,N/A,2025-07-26 13:19:51
63,10.230712,N/A,N/A,1.60e-05,6241.49,524288,N/A,2025-07-26 13:19:53
64,10.634383,N/A,N/A,1.63e-05,6203.79,532480,N/A,2025-07-26 13:19:54
65,9.267541,N/A,N/A,1.65e-05,6167.50,540672,N/A,2025-07-26 13:19:56
66,8.789771,N/A,N/A,1.68e-05,6172.05,548864,N/A,2025-07-26 13:19:57
67,10.101757,N/A,N/A,1.70e-05,6318.02,557056,N/A,2025-07-26 13:19:59
68,10.644797,N/A,N/A,1.73e-05,6360.93,565248,N/A,2025-07-26 13:20:00
69,9.794557,N/A,N/A,1.75e-05,6438.97,573440,N/A,2025-07-26 13:20:01
70,10.975015,N/A,N/A,1.78e-05,6354.75,581632,1.0000,2025-07-26 13:20:03
71,9.939383,N/A,N/A,1.80e-05,6310.91,589824,N/A,2025-07-26 13:20:04
72,9.835865,N/A,N/A,1.82e-05,6295.35,598016,N/A,2025-07-26 13:20:06
73,10.024344,N/A,N/A,1.85e-05,6324.82,606208,N/A,2025-07-26 13:20:07
74,10.229968,N/A,N/A,1.88e-05,6344.31,614400,N/A,2025-07-26 13:20:09
75,9.577470,N/A,N/A,1.90e-05,6353.91,622592,N/A,2025-07-26 13:20:10
76,7.933866,N/A,N/A,1.93e-05,6339.84,630784,N/A,2025-07-26 13:20:11
77,10.008748,N/A,N/A,1.95e-05,6350.69,638976,N/A,2025-07-26 13:20:13
78,10.897334,N/A,N/A,1.98e-05,6364.63,647168,N/A,2025-07-26 13:20:14
79,9.050634,N/A,N/A,2.00e-05,6357.15,655360,N/A,2025-07-26 13:20:16
80,9.177579,N/A,N/A,2.02e-05,6306.62,663552,1.0000,2025-07-26 13:20:17
81,9.573782,N/A,N/A,2.05e-05,6274.81,671744,N/A,2025-07-26 13:20:19
82,9.265336,N/A,N/A,2.07e-05,6234.29,679936,N/A,2025-07-26 13:20:20
83,8.902618,N/A,N/A,2.10e-05,6263.27,688128,N/A,2025-07-26 13:20:22
84,9.479997,N/A,N/A,2.13e-05,6264.62,696320,N/A,2025-07-26 13:20:23
85,9.500733,N/A,N/A,2.15e-05,6233.44,704512,N/A,2025-07-26 13:20:25
86,8.063568,N/A,N/A,2.18e-05,6211.48,712704,N/A,2025-07-26 13:20:26
87,7.876117,N/A,N/A,2.20e-05,6224.82,720896,N/A,2025-07-26 13:20:27
88,10.421363,N/A,N/A,2.22e-05,6335.16,729088,N/A,2025-07-26 13:20:29
89,9.064665,N/A,N/A,2.25e-05,6408.44,737280,N/A,2025-07-26 13:20:30
90,8.218269,N/A,N/A,2.28e-05,6373.88,745472,1.0000,2025-07-26 13:20:32
91,9.639127,N/A,N/A,2.30e-05,6346.13,753664,N/A,2025-07-26 13:20:33
92,9.896149,N/A,N/A,2.33e-05,6261.40,761856,N/A,2025-07-26 13:20:35
93,8.231927,N/A,N/A,2.35e-05,6240.68,770048,N/A,2025-07-26 13:20:36
94,8.367953,N/A,N/A,2.37e-05,6314.36,778240,N/A,2025-07-26 13:20:38
95,7.807725,N/A,N/A,2.40e-05,6275.14,786432,N/A,2025-07-26 13:20:39
96,6.850409,N/A,N/A,2.42e-05,6253.06,794624,N/A,2025-07-26 13:20:40
97,9.180688,N/A,N/A,2.45e-05,6223.32,802816,N/A,2025-07-26 13:20:42
98,9.143422,N/A,N/A,2.48e-05,6158.79,811008,N/A,2025-07-26 13:20:43
99,8.443463,N/A,N/A,2.50e-05,6205.96,819200,N/A,2025-07-26 13:20:45
100,9.199499,N/A,N/A,2.53e-05,6235.70,827392,1.0000,2025-07-26 13:20:46
101,8.309674,N/A,N/A,2.55e-05,2831.13,835584,N/A,2025-07-26 13:21:04
102,10.075618,N/A,N/A,2.57e-05,2831.99,843776,N/A,2025-07-26 13:21:05
103,9.598788,N/A,N/A,2.60e-05,2813.13,851968,N/A,2025-07-26 13:21:07
104,10.072320,N/A,N/A,2.63e-05,2807.67,860160,N/A,2025-07-26 13:21:08
105,9.722006,N/A,N/A,2.65e-05,2804.07,868352,N/A,2025-07-26 13:21:10
106,8.348659,N/A,N/A,2.68e-05,2792.56,876544,N/A,2025-07-26 13:21:11
107,8.249660,N/A,N/A,2.70e-05,2795.94,884736,N/A,2025-07-26 13:21:13
108,7.451254,N/A,N/A,2.72e-05,2803.91,892928,N/A,2025-07-26 13:21:14
109,7.511814,N/A,N/A,2.75e-05,2806.28,901120,N/A,2025-07-26 13:21:15
110,9.189097,N/A,N/A,2.77e-05,6118.51,909312,1.0000,2025-07-26 13:21:17
111,10.962143,N/A,N/A,2.80e-05,6158.95,917504,N/A,2025-07-26 13:21:18
112,9.550442,N/A,N/A,2.83e-05,6146.83,925696,N/A,2025-07-26 13:21:20
113,9.262274,N/A,N/A,2.85e-05,6136.06,933888,N/A,2025-07-26 13:21:22
114,10.152303,N/A,N/A,2.87e-05,6075.33,942080,N/A,2025-07-26 13:21:23
115,6.812758,N/A,N/A,2.90e-05,6073.07,950272,N/A,2025-07-26 13:21:25
116,8.853737,N/A,N/A,2.92e-05,6101.47,958464,N/A,2025-07-26 13:21:26
117,9.354606,N/A,N/A,2.95e-05,6049.26,966656,N/A,2025-07-26 13:21:28
118,10.508656,N/A,N/A,2.98e-05,6031.00,974848,N/A,2025-07-26 13:21:29
119,7.644490,N/A,N/A,3.00e-05,6048.39,983040,N/A,2025-07-26 13:21:31
120,7.626386,N/A,N/A,3.03e-05,5930.60,991232,1.0000,2025-07-26 13:21:32
121,8.320578,N/A,N/A,3.05e-05,5994.33,999424,N/A,2025-07-26 13:21:34
122,8.367047,N/A,N/A,3.08e-05,6019.93,1007616,N/A,2025-07-26 13:21:35
123,7.007496,N/A,N/A,3.10e-05,6040.11,1015808,N/A,2025-07-26 13:21:37
124,8.497460,N/A,N/A,3.13e-05,6110.80,1024000,N/A,2025-07-26 13:21:38
125,7.854589,N/A,N/A,3.15e-05,6046.20,1032192,N/A,2025-07-26 13:21:40
126,7.708197,N/A,N/A,3.18e-05,6050.80,1040384,N/A,2025-07-26 13:21:41
127,7.069792,N/A,N/A,3.20e-05,6002.85,1048576,N/A,2025-07-26 13:21:43
128,9.296454,N/A,N/A,3.22e-05,5974.12,1056768,N/A,2025-07-26 13:21:44
129,6.534826,N/A,N/A,3.25e-05,6100.81,1064960,N/A,2025-07-26 13:21:46
130,8.796094,N/A,N/A,3.28e-05,6116.73,1073152,1.0000,2025-07-26 13:21:47
131,6.753177,N/A,N/A,3.30e-05,6146.09,1081344,N/A,2025-07-26 13:21:49
132,5.826878,N/A,N/A,3.33e-05,6176.10,1089536,N/A,2025-07-26 13:21:50
133,8.242737,N/A,N/A,3.35e-05,6167.21,1097728,N/A,2025-07-26 13:21:51
134,8.531591,N/A,N/A,3.38e-05,6204.73,1105920,N/A,2025-07-26 13:21:53
135,6.815328,N/A,N/A,3.40e-05,6258.54,1114112,N/A,2025-07-26 13:21:54
136,7.376378,N/A,N/A,3.42e-05,6387.68,1122304,N/A,2025-07-26 13:21:56
137,7.892065,N/A,N/A,3.45e-05,6443.81,1130496,N/A,2025-07-26 13:21:57
138,7.334962,N/A,N/A,3.48e-05,6390.34,1138688,N/A,2025-07-26 13:21:59
139,6.729782,N/A,N/A,3.50e-05,6348.09,1146880,N/A,2025-07-26 13:22:00
140,5.249918,N/A,N/A,3.53e-05,6287.10,1155072,1.0000,2025-07-26 13:22:02
141,6.624308,N/A,N/A,3.55e-05,6333.09,1163264,N/A,2025-07-26 13:22:03
142,7.246113,N/A,N/A,3.58e-05,6297.32,1171456,N/A,2025-07-26 13:22:04
143,7.490729,N/A,N/A,3.60e-05,6291.71,1179648,N/A,2025-07-26 13:22:06
144,7.466505,N/A,N/A,3.63e-05,6249.61,1187840,N/A,2025-07-26 13:22:07
145,9.237665,N/A,N/A,3.65e-05,6149.67,1196032,N/A,2025-07-26 13:22:09
146,7.868822,N/A,N/A,3.68e-05,6142.33,1204224,N/A,2025-07-26 13:22:10
147,7.828300,N/A,N/A,3.70e-05,6152.47,1212416,N/A,2025-07-26 13:22:12
