step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,12.359664,N/A,N/A,2.50e-07,0.00,8192,N/A,2025-07-26 13:34:15
1,12.358590,N/A,N/A,5.00e-07,1222.43,16384,N/A,2025-07-26 13:34:28
2,12.641289,N/A,N/A,7.50e-07,1735.27,24576,N/A,2025-07-26 13:34:29
3,12.631164,N/A,N/A,1.00e-06,2197.29,32768,N/A,2025-07-26 13:34:29
4,12.368240,N/A,N/A,1.25e-06,2586.63,40960,N/A,2025-07-26 13:34:30
5,12.362111,N/A,N/A,1.50e-06,2961.33,49152,N/A,2025-07-26 13:34:31
6,12.386697,N/A,N/A,1.75e-06,3304.56,57344,N/A,2025-07-26 13:34:32
7,12.380967,N/A,N/A,2.00e-06,3618.70,65536,N/A,2025-07-26 13:34:33
8,12.297291,N/A,N/A,2.25e-06,3914.83,73728,N/A,2025-07-26 13:34:33
9,12.286611,N/A,N/A,2.50e-06,4172.50,81920,N/A,2025-07-26 13:34:34
10,12.439301,N/A,N/A,2.75e-06,11763.79,90112,1.0000,2025-07-26 13:34:35
11,12.425606,N/A,N/A,3.00e-06,11820.39,98304,N/A,2025-07-26 13:34:36
12,12.360799,N/A,N/A,3.25e-06,11775.87,106496,N/A,2025-07-26 13:34:36
13,12.333571,N/A,N/A,3.50e-06,12144.61,114688,N/A,2025-07-26 13:34:37
14,12.419783,N/A,N/A,3.75e-06,12192.35,122880,N/A,2025-07-26 13:34:38
15,12.406987,N/A,N/A,4.00e-06,12073.23,131072,N/A,2025-07-26 13:34:39
16,12.191704,N/A,N/A,4.25e-06,12154.09,139264,N/A,2025-07-26 13:34:39
17,12.166632,N/A,N/A,4.50e-06,12162.28,147456,N/A,2025-07-26 13:34:40
18,12.429213,N/A,N/A,4.75e-06,12368.52,155648,N/A,2025-07-26 13:34:41
19,12.407316,N/A,N/A,5.00e-06,12473.59,163840,N/A,2025-07-26 13:34:41
20,12.174816,N/A,N/A,5.25e-06,12487.23,172032,1.0000,2025-07-26 13:34:42
21,12.148739,N/A,N/A,5.50e-06,12500.42,180224,N/A,2025-07-26 13:34:43
22,12.130556,N/A,N/A,5.75e-06,12454.04,188416,N/A,2025-07-26 13:34:44
23,12.095610,N/A,N/A,6.00e-06,12368.20,196608,N/A,2025-07-26 13:34:44
24,12.236823,N/A,N/A,6.25e-06,12525.43,204800,N/A,2025-07-26 13:34:45
25,12.214328,N/A,N/A,6.50e-06,12541.80,212992,N/A,2025-07-26 13:34:46
26,12.026564,N/A,N/A,6.75e-06,12649.10,221184,N/A,2025-07-26 13:34:47
27,11.990743,N/A,N/A,7.00e-06,12469.21,229376,N/A,2025-07-26 13:34:47
28,12.163867,N/A,N/A,7.25e-06,12483.79,237568,N/A,2025-07-26 13:34:48
29,12.132648,N/A,N/A,7.50e-06,12642.25,245760,N/A,2025-07-26 13:34:49
30,12.226428,N/A,N/A,7.75e-06,12592.53,253952,1.0000,2025-07-26 13:34:49
31,12.183287,N/A,N/A,8.00e-06,12766.49,262144,N/A,2025-07-26 13:34:50
32,11.658949,N/A,N/A,8.25e-06,12774.40,270336,N/A,2025-07-26 13:34:51
33,11.602689,N/A,N/A,8.50e-06,12890.62,278528,N/A,2025-07-26 13:34:52
34,11.909636,N/A,N/A,8.75e-06,12876.94,286720,N/A,2025-07-26 13:34:52
35,11.876679,N/A,N/A,9.00e-06,12856.15,294912,N/A,2025-07-26 13:34:53
36,11.849217,N/A,N/A,9.25e-06,12992.90,303104,N/A,2025-07-26 13:34:54
37,11.814759,N/A,N/A,9.50e-06,12918.46,311296,N/A,2025-07-26 13:34:54
38,12.091978,N/A,N/A,9.75e-06,12882.76,319488,N/A,2025-07-26 13:34:55
39,12.059532,N/A,N/A,1.00e-05,13001.92,327680,N/A,2025-07-26 13:34:56
40,12.034546,N/A,N/A,1.03e-05,12756.30,335872,1.0000,2025-07-26 13:34:57
41,12.003566,N/A,N/A,1.05e-05,12828.22,344064,N/A,2025-07-26 13:34:57
42,11.525923,N/A,N/A,1.08e-05,12598.20,352256,N/A,2025-07-26 13:34:58
43,11.479537,N/A,N/A,1.10e-05,12453.71,360448,N/A,2025-07-26 13:34:59
44,11.263964,N/A,N/A,1.13e-05,12270.12,368640,N/A,2025-07-26 13:35:00
45,11.190273,N/A,N/A,1.15e-05,12367.37,376832,N/A,2025-07-26 13:35:00
46,11.828809,N/A,N/A,1.18e-05,12351.52,385024,N/A,2025-07-26 13:35:01
47,11.786425,N/A,N/A,1.20e-05,12381.09,393216,N/A,2025-07-26 13:35:02
48,11.678435,N/A,N/A,1.22e-05,12490.87,401408,N/A,2025-07-26 13:35:02
49,11.636976,N/A,N/A,1.25e-05,12558.83,409600,N/A,2025-07-26 13:35:03
50,11.894390,N/A,N/A,1.28e-05,12587.68,417792,1.0000,2025-07-26 13:35:04
51,11.856919,N/A,N/A,1.30e-05,12735.75,425984,N/A,2025-07-26 13:35:04
52,11.507870,N/A,N/A,1.33e-05,12777.59,434176,N/A,2025-07-26 13:35:05
53,11.456576,N/A,N/A,1.35e-05,12986.46,442368,N/A,2025-07-26 13:35:06
54,11.847834,N/A,N/A,1.38e-05,12565.09,450560,N/A,2025-07-26 13:35:07
55,11.814063,N/A,N/A,1.40e-05,12677.90,458752,N/A,2025-07-26 13:35:07
56,10.928841,N/A,N/A,1.42e-05,12394.58,466944,N/A,2025-07-26 13:35:08
57,10.868311,N/A,N/A,1.45e-05,12362.03,475136,N/A,2025-07-26 13:35:09
58,11.013853,N/A,N/A,1.47e-05,12501.24,483328,N/A,2025-07-26 13:35:10
59,10.962474,N/A,N/A,1.50e-05,12411.27,491520,N/A,2025-07-26 13:35:10
60,10.966033,N/A,N/A,1.52e-05,12315.18,499712,1.0000,2025-07-26 13:35:11
61,10.910208,N/A,N/A,1.55e-05,12374.83,507904,N/A,2025-07-26 13:35:12
62,10.587445,N/A,N/A,1.57e-05,12222.73,516096,N/A,2025-07-26 13:35:13
63,10.514606,N/A,N/A,1.60e-05,12448.61,524288,N/A,2025-07-26 13:35:13
64,10.596218,N/A,N/A,1.63e-05,12415.73,532480,N/A,2025-07-26 13:35:14
