step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,avg_seq_len,total_tokens,grad_norm,timestamp
0,12.295797,N/A,N/A,2.50e-07,0.00,116.00,232,N/A,2025-08-07 10:40:27
1,12.358617,N/A,N/A,5.00e-07,5.60,154.50,541,N/A,2025-08-07 10:42:04
2,12.130396,N/A,N/A,7.50e-07,5.03,208.50,958,N/A,2025-08-07 10:43:38
3,12.152048,N/A,N/A,1.00e-06,5.08,238.00,1434,N/A,2025-08-07 10:45:10
4,12.112439,N/A,N/A,1.25e-06,5.46,306.00,2046,N/A,2025-08-07 10:46:42
5,12.113789,N/A,N/A,1.50e-06,5.97,373.50,2793,N/A,2025-08-07 10:48:15
6,12.122876,N/A,N/A,1.75e-06,6.54,441.50,3676,N/A,2025-08-07 10:49:49
7,12.232256,N/A,N/A,2.00e-06,7.05,472.00,4620,N/A,2025-08-07 10:51:23
8,0.000000,N/A,N/A,2.25e-06,8.05,513.00,5646,N/A,2025-08-07 10:52:09
9,0.000000,N/A,N/A,2.50e-06,9.58,546.00,6738,N/A,2025-08-07 10:52:11
10,0.000000,N/A,N/A,2.75e-06,12.57,571.50,7881,N/A,2025-08-07 10:52:12
11,0.000000,N/A,N/A,3.00e-06,16.60,613.00,9107,N/A,2025-08-07 10:52:14
12,0.000000,N/A,N/A,3.25e-06,22.12,638.00,10383,N/A,2025-08-07 10:52:16
13,0.000000,N/A,N/A,3.50e-06,30.85,691.50,11766,N/A,2025-08-07 10:52:17
14,0.000000,N/A,N/A,3.75e-06,45.73,713.50,13193,N/A,2025-08-07 10:52:19
15,0.000000,N/A,N/A,4.00e-06,78.47,743.50,14680,N/A,2025-08-07 10:52:21
16,0.000000,N/A,N/A,4.25e-06,215.47,889.00,16458,N/A,2025-08-07 10:52:22
17,0.000000,N/A,N/A,4.50e-06,879.30,964.00,18386,N/A,2025-08-07 10:52:25
18,12.001616,N/A,N/A,4.75e-06,913.39,116.00,18618,N/A,2025-08-07 10:52:25
19,11.976942,N/A,N/A,5.00e-06,948.45,154.50,18927,N/A,2025-08-07 10:52:25
20,11.723396,N/A,N/A,5.25e-06,999.32,208.50,19344,13.7278,2025-08-07 10:52:25
21,11.599002,N/A,N/A,5.50e-06,1082.82,238.00,19820,N/A,2025-08-07 10:52:25
22,11.538399,N/A,N/A,5.75e-06,1202.77,306.00,20432,N/A,2025-08-07 10:52:26
23,11.524347,N/A,N/A,6.00e-06,1382.49,373.50,21179,N/A,2025-08-07 10:52:26
24,11.446595,N/A,N/A,6.25e-06,1646.97,441.50,22062,N/A,2025-08-07 10:52:26
25,11.607521,N/A,N/A,6.50e-06,2081.48,472.00,23006,N/A,2025-08-07 10:52:26
26,0.000000,N/A,N/A,6.75e-06,1871.22,513.00,24032,N/A,2025-08-07 10:52:29
27,0.000000,N/A,N/A,7.00e-06,1221.59,546.00,25124,N/A,2025-08-07 10:52:30
28,0.000000,N/A,N/A,7.25e-06,1110.30,571.50,26267,N/A,2025-08-07 10:52:32
29,0.000000,N/A,N/A,7.50e-06,1030.62,613.00,27493,N/A,2025-08-07 10:52:34
30,0.000000,N/A,N/A,7.75e-06,954.87,638.00,28769,N/A,2025-08-07 10:52:35
31,0.000000,N/A,N/A,8.00e-06,897.87,691.50,30152,N/A,2025-08-07 10:52:37
32,0.000000,N/A,N/A,8.25e-06,848.25,713.50,31579,N/A,2025-08-07 10:52:39
33,0.000000,N/A,N/A,8.50e-06,814.60,743.50,33066,N/A,2025-08-07 10:52:41
34,0.000000,N/A,N/A,8.75e-06,799.05,889.00,34844,N/A,2025-08-07 10:52:42
35,0.000000,N/A,N/A,9.00e-06,889.84,964.00,36772,N/A,2025-08-07 10:52:44
36,11.006196,N/A,N/A,9.25e-06,929.04,116.00,37004,N/A,2025-08-07 10:52:44
37,11.083839,N/A,N/A,9.50e-06,970.45,154.50,37313,N/A,2025-08-07 10:52:45
38,10.938399,N/A,N/A,9.75e-06,1044.01,208.50,37730,N/A,2025-08-07 10:52:45
39,10.769269,N/A,N/A,1.00e-05,1138.76,238.00,38206,N/A,2025-08-07 10:52:45
40,10.790901,N/A,N/A,1.03e-05,1290.48,306.00,38818,8.1826,2025-08-07 10:52:45
41,10.793173,N/A,N/A,1.05e-05,1534.63,373.50,39565,N/A,2025-08-07 10:52:45
42,10.787673,N/A,N/A,1.08e-05,1942.24,441.50,40448,N/A,2025-08-07 10:52:45
43,10.965341,N/A,N/A,1.10e-05,2756.70,472.00,41392,N/A,2025-08-07 10:52:45
44,0.000000,N/A,N/A,1.12e-05,2318.30,513.00,42418,N/A,2025-08-07 10:52:47
45,0.000000,N/A,N/A,1.15e-05,1391.91,546.00,43510,N/A,2025-08-07 10:52:49
46,0.000000,N/A,N/A,1.17e-05,1225.70,571.50,44653,N/A,2025-08-07 10:52:51
47,0.000000,N/A,N/A,1.20e-05,1097.12,613.00,45879,N/A,2025-08-07 10:52:52
48,0.000000,N/A,N/A,1.23e-05,1003.26,638.00,47155,N/A,2025-08-07 10:52:54
49,0.000000,N/A,N/A,1.25e-05,945.75,691.50,48538,N/A,2025-08-07 10:52:56
50,0.000000,N/A,N/A,1.28e-05,891.19,713.50,49965,N/A,2025-08-07 10:52:58
51,0.000000,N/A,N/A,1.30e-05,846.91,743.50,51452,N/A,2025-08-07 10:52:59
52,0.000000,N/A,N/A,1.33e-05,815.89,889.00,53230,N/A,2025-08-07 10:53:01
53,0.000000,N/A,N/A,1.35e-05,892.77,964.00,55158,N/A,2025-08-07 10:53:03
54,10.195717,N/A,N/A,1.38e-05,934.42,116.00,55390,N/A,2025-08-07 10:53:03
55,10.376011,N/A,N/A,1.40e-05,977.61,154.50,55699,N/A,2025-08-07 10:53:03
56,10.227780,N/A,N/A,1.43e-05,1052.39,208.50,56116,N/A,2025-08-07 10:53:03
