step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,tokens_per_sec_per_M_params,total_tokens,grad_norm,timestamp
0,13.208858,N/A,N/A,2.50e-07,0.00,0.00,8192,N/A,2025-08-02 17:02:05
1,12.990314,N/A,N/A,5.00e-07,2384.94,9.93,16384,N/A,2025-08-02 17:02:12
2,13.213399,N/A,N/A,7.50e-07,2732.46,11.38,24576,N/A,2025-08-02 17:02:14
3,13.407907,N/A,N/A,1.00e-06,2961.79,12.34,32768,N/A,2025-08-02 17:02:16
4,12.570812,N/A,N/A,1.25e-06,3149.22,13.12,40960,N/A,2025-08-02 17:02:18
5,12.456942,N/A,N/A,1.50e-06,3244.61,13.51,49152,N/A,2025-08-02 17:02:20
6,12.107039,N/A,N/A,1.75e-06,3318.82,13.82,57344,N/A,2025-08-02 17:02:22
7,11.991061,N/A,N/A,2.00e-06,3371.25,14.04,65536,N/A,2025-08-02 17:02:24
8,11.655449,N/A,N/A,2.25e-06,3399.94,14.16,73728,N/A,2025-08-02 17:02:27
9,11.076598,N/A,N/A,2.50e-06,3437.79,14.32,81920,N/A,2025-08-02 17:02:29
10,10.704431,N/A,N/A,2.75e-06,4279.84,17.83,90112,74.8389,2025-08-02 17:02:31
11,10.070969,N/A,N/A,3.00e-06,4320.47,18.00,98304,N/A,2025-08-02 17:02:33
12,9.379935,N/A,N/A,3.25e-06,4376.42,18.23,106496,N/A,2025-08-02 17:02:35
13,8.561913,N/A,N/A,3.50e-06,4352.40,18.13,114688,N/A,2025-08-02 17:02:37
14,10.146243,N/A,N/A,3.75e-06,4365.53,18.18,122880,N/A,2025-08-02 17:02:39
15,10.021674,N/A,N/A,4.00e-06,4389.04,18.28,131072,N/A,2025-08-02 17:02:41
16,7.599189,N/A,N/A,4.25e-06,4432.36,18.46,139264,N/A,2025-08-02 17:02:43
17,7.260051,N/A,N/A,4.50e-06,4454.31,18.55,147456,N/A,2025-08-02 17:02:45
18,4.635072,N/A,N/A,4.75e-06,4451.73,18.54,155648,N/A,2025-08-02 17:02:47
19,5.336353,N/A,N/A,5.00e-06,4498.63,18.74,163840,N/A,2025-08-02 17:02:49
20,6.960055,N/A,N/A,5.25e-06,4435.88,18.48,172032,50.8510,2025-08-02 17:02:51
21,6.840919,N/A,N/A,5.50e-06,4412.49,18.38,180224,N/A,2025-08-02 17:02:53
22,8.216577,N/A,N/A,5.75e-06,4470.87,18.62,188416,N/A,2025-08-02 17:02:55
