step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,tokens_per_sec_per_M_params,total_tokens,grad_norm,timestamp
0,11.927337,N/A,N/A,2.50e-07,0.00,0.00,12288,N/A,2025-08-03 18:20:16
1,12.957914,N/A,N/A,5.00e-07,263.71,0.74,24576,N/A,2025-08-03 18:53:09
2,12.441332,N/A,N/A,7.50e-07,309.29,0.87,36864,N/A,2025-08-03 18:53:35
3,12.247414,N/A,N/A,1.00e-06,388.47,1.09,49152,N/A,2025-08-03 18:53:42
4,12.025392,N/A,N/A,1.25e-06,483.97,1.36,61440,N/A,2025-08-03 18:53:43
5,11.407620,N/A,N/A,1.50e-06,578.85,1.63,73728,N/A,2025-08-03 18:53:43
6,10.619301,N/A,N/A,1.75e-06,673.10,1.89,86016,N/A,2025-08-03 18:53:44
7,10.287124,N/A,N/A,2.00e-06,766.72,2.16,98304,N/A,2025-08-03 18:53:44
8,8.389396,N/A,N/A,2.25e-06,859.72,2.42,110592,N/A,2025-08-03 18:53:44
9,9.689570,N/A,N/A,2.50e-06,952.10,2.68,122880,N/A,2025-08-03 18:53:45
10,9.669780,N/A,N/A,2.75e-06,3377.19,9.51,135168,51.4580,2025-08-03 18:53:45
11,7.244195,N/A,N/A,3.00e-06,11358.39,31.97,147456,N/A,2025-08-03 18:53:46
12,6.534196,N/A,N/A,3.25e-06,31473.74,88.59,159744,N/A,2025-08-03 18:53:46
13,5.862289,N/A,N/A,3.50e-06,31470.61,88.58,172032,N/A,2025-08-03 18:53:47
14,5.138713,N/A,N/A,3.75e-06,31465.21,88.57,184320,N/A,2025-08-03 18:53:47
15,4.264548,N/A,N/A,4.00e-06,31450.61,88.53,196608,N/A,2025-08-03 18:53:48
16,7.002114,N/A,N/A,4.25e-06,31461.78,88.56,208896,N/A,2025-08-03 18:53:48
17,4.971441,N/A,N/A,4.50e-06,31503.45,88.68,221184,N/A,2025-08-03 18:53:48
18,4.724790,N/A,N/A,4.75e-06,31519.94,88.72,233472,N/A,2025-08-03 18:53:49
19,4.533539,N/A,N/A,5.00e-06,32299.02,90.92,245760,N/A,2025-08-03 18:53:49
20,5.060321,N/A,N/A,5.25e-06,32164.05,90.54,258048,12.8094,2025-08-03 18:53:50
21,2.684160,N/A,N/A,5.50e-06,32192.54,90.62,270336,N/A,2025-08-03 18:53:50
22,5.429228,N/A,N/A,5.75e-06,32166.94,90.54,282624,N/A,2025-08-03 18:53:51
23,7.307540,N/A,N/A,6.00e-06,32175.06,90.57,294912,N/A,2025-08-03 18:53:51
24,5.457420,N/A,N/A,6.25e-06,32134.77,90.45,307200,N/A,2025-08-03 18:53:51
25,1.973925,N/A,N/A,6.50e-06,32098.04,90.35,319488,N/A,2025-08-03 18:53:52
26,4.669775,N/A,N/A,6.75e-06,32076.68,90.29,331776,N/A,2025-08-03 18:53:52
27,5.342020,N/A,N/A,7.00e-06,32090.78,90.33,344064,N/A,2025-08-03 18:53:53
28,7.216947,N/A,N/A,7.25e-06,32105.48,90.37,356352,N/A,2025-08-03 18:53:53
29,5.184842,N/A,N/A,7.50e-06,32298.23,90.91,368640,N/A,2025-08-03 18:53:53
30,3.815646,N/A,N/A,7.75e-06,32107.08,90.37,380928,6.5522,2025-08-03 18:53:54
31,5.420614,N/A,N/A,8.00e-06,32141.56,90.47,393216,N/A,2025-08-03 18:53:54
32,2.464517,N/A,N/A,8.25e-06,32128.93,90.44,405504,N/A,2025-08-03 18:53:55
33,6.514455,N/A,N/A,8.50e-06,32175.30,90.57,417792,N/A,2025-08-03 18:53:55
34,7.358669,N/A,N/A,8.75e-06,32205.05,90.65,430080,N/A,2025-08-03 18:53:56
35,4.579878,N/A,N/A,9.00e-06,32193.57,90.62,442368,N/A,2025-08-03 18:53:56
36,4.543422,N/A,N/A,9.25e-06,32184.62,90.59,454656,N/A,2025-08-03 18:53:56
37,4.406718,N/A,N/A,9.50e-06,32166.76,90.54,466944,N/A,2025-08-03 18:53:57
38,4.188330,N/A,N/A,9.75e-06,32174.08,90.56,479232,N/A,2025-08-03 18:53:57
39,3.683850,N/A,N/A,1.00e-05,32349.41,91.06,491520,N/A,2025-08-03 18:53:58
40,6.331638,N/A,N/A,1.03e-05,32033.79,90.17,503808,2.7856,2025-08-03 18:53:58
41,4.449839,N/A,N/A,1.05e-05,32037.15,90.18,516096,N/A,2025-08-03 18:53:59
42,4.190840,N/A,N/A,1.08e-05,32043.69,90.20,528384,N/A,2025-08-03 18:53:59
43,3.931856,N/A,N/A,1.10e-05,32031.12,90.16,540672,N/A,2025-08-03 18:53:59
44,4.497449,N/A,N/A,1.12e-05,32013.16,90.11,552960,N/A,2025-08-03 18:54:00
45,2.305581,N/A,N/A,1.15e-05,32013.92,90.11,565248,N/A,2025-08-03 18:54:00
46,4.887551,N/A,N/A,1.17e-05,32024.20,90.14,577536,N/A,2025-08-03 18:54:01
47,6.610367,N/A,N/A,1.20e-05,32034.98,90.17,589824,N/A,2025-08-03 18:54:01
48,3.262450,N/A,N/A,1.23e-05,32017.75,90.12,602112,N/A,2025-08-03 18:54:02
49,5.582903,N/A,N/A,1.25e-05,32304.64,90.93,614400,N/A,2025-08-03 18:54:02
50,7.104330,N/A,N/A,1.28e-05,32006.24,90.09,626688,2.6127,2025-08-03 18:54:02
51,5.842173,N/A,N/A,1.30e-05,31958.85,89.96,638976,N/A,2025-08-03 18:54:03
52,4.227271,N/A,N/A,1.33e-05,31981.05,90.02,651264,N/A,2025-08-03 18:54:03
53,3.555035,N/A,N/A,1.35e-05,32001.00,90.08,663552,N/A,2025-08-03 18:54:04
54,4.383385,N/A,N/A,1.38e-05,31988.38,90.04,675840,N/A,2025-08-03 18:54:04
55,5.163828,N/A,N/A,1.40e-05,31981.59,90.02,688128,N/A,2025-08-03 18:54:05
56,5.185424,N/A,N/A,1.43e-05,31959.53,89.96,700416,N/A,2025-08-03 18:54:05
57,4.558531,N/A,N/A,1.45e-05,31974.12,90.00,712704,N/A,2025-08-03 18:54:05
58,5.687286,N/A,N/A,1.48e-05,31984.16,90.03,724992,N/A,2025-08-03 18:54:06
59,4.931065,N/A,N/A,1.50e-05,32274.34,90.85,737280,N/A,2025-08-03 18:54:06
60,6.213630,N/A,N/A,1.52e-05,32083.96,90.31,749568,1.6980,2025-08-03 18:54:07
61,3.759617,N/A,N/A,1.55e-05,32043.76,90.20,761856,N/A,2025-08-03 18:54:07
62,4.276585,N/A,N/A,1.57e-05,32036.38,90.18,774144,N/A,2025-08-03 18:54:08
63,3.163049,N/A,N/A,1.60e-05,32029.54,90.16,786432,N/A,2025-08-03 18:54:08
64,4.500461,N/A,N/A,1.63e-05,32002.13,90.08,798720,N/A,2025-08-03 18:54:08
65,2.197017,N/A,N/A,1.65e-05,32019.69,90.13,811008,N/A,2025-08-03 18:54:09
66,5.584331,N/A,N/A,1.68e-05,32034.88,90.17,823296,N/A,2025-08-03 18:54:09
67,4.716443,N/A,N/A,1.70e-05,31969.82,89.99,835584,N/A,2025-08-03 18:54:10
68,3.757311,N/A,N/A,1.73e-05,31990.45,90.05,847872,N/A,2025-08-03 18:54:10
69,2.113619,N/A,N/A,1.75e-05,32217.12,90.68,860160,N/A,2025-08-03 18:54:10
70,3.551736,N/A,N/A,1.78e-05,32037.72,90.18,872448,0.7987,2025-08-03 18:54:11
71,4.474614,N/A,N/A,1.80e-05,32049.74,90.21,884736,N/A,2025-08-03 18:54:11
72,3.380660,N/A,N/A,1.82e-05,32067.03,90.26,897024,N/A,2025-08-03 18:54:12
73,3.927360,N/A,N/A,1.85e-05,32072.28,90.28,909312,N/A,2025-08-03 18:54:12
74,4.133664,N/A,N/A,1.87e-05,32058.86,90.24,921600,N/A,2025-08-03 18:54:13
75,3.381443,N/A,N/A,1.90e-05,32028.84,90.15,933888,N/A,2025-08-03 18:54:13
76,3.925756,N/A,N/A,1.93e-05,32095.89,90.34,946176,N/A,2025-08-03 18:54:13
77,4.153786,N/A,N/A,1.95e-05,32075.63,90.29,958464,N/A,2025-08-03 18:54:14
78,3.850521,N/A,N/A,1.97e-05,32080.04,90.30,970752,N/A,2025-08-03 18:54:14
79,3.336009,N/A,N/A,2.00e-05,32270.34,90.83,983040,N/A,2025-08-03 18:54:15
80,2.988617,N/A,N/A,2.03e-05,31945.85,89.92,995328,0.8946,2025-08-03 18:54:15
81,6.965399,N/A,N/A,2.05e-05,31920.69,89.85,1007616,N/A,2025-08-03 18:54:16
82,2.653171,N/A,N/A,2.07e-05,31928.79,89.87,1019904,N/A,2025-08-03 18:54:16
83,2.956290,N/A,N/A,2.10e-05,31921.74,89.85,1032192,N/A,2025-08-03 18:54:16
84,5.698861,N/A,N/A,2.13e-05,31949.19,89.93,1044480,N/A,2025-08-03 18:54:17
85,5.963798,N/A,N/A,2.15e-05,31917.27,89.84,1056768,N/A,2025-08-03 18:54:17
86,3.757381,N/A,N/A,2.18e-05,31913.58,89.83,1069056,N/A,2025-08-03 18:54:18
87,4.624601,N/A,N/A,2.20e-05,31905.26,89.81,1081344,N/A,2025-08-03 18:54:18
88,3.775345,N/A,N/A,2.22e-05,31901.87,89.80,1093632,N/A,2025-08-03 18:54:19
89,4.273803,N/A,N/A,2.25e-05,32213.70,90.67,1105920,N/A,2025-08-03 18:54:19
90,4.539091,N/A,N/A,2.28e-05,32052.06,90.22,1118208,1.4331,2025-08-03 18:54:19
91,5.046675,N/A,N/A,2.30e-05,32065.59,90.26,1130496,N/A,2025-08-03 18:54:20
92,3.781589,N/A,N/A,2.32e-05,32056.06,90.23,1142784,N/A,2025-08-03 18:54:20
93,7.202041,N/A,N/A,2.35e-05,31972.83,90.00,1155072,N/A,2025-08-03 18:54:21
94,5.786227,N/A,N/A,2.38e-05,31989.34,90.04,1167360,N/A,2025-08-03 18:54:21
95,4.301851,N/A,N/A,2.40e-05,32001.37,90.08,1179648,N/A,2025-08-03 18:54:22
96,4.059367,N/A,N/A,2.42e-05,31997.81,90.07,1191936,N/A,2025-08-03 18:54:22
